nh,clust,Amount_withdrawn_from_savings,Honey,land_in_acre,agri1c,profit_per_acre
11,4790,0,0,30,576856.844862155,19228.5614954052
11,4790,0,0,30,576856.844862155,19228.5614954052
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4792,0,0,0.66115728,1731146.66666667,2618358.32264702
11,4842,120000,0,7,415691.547619048,59384.5068027211
11,4862,0,0,6,601374.285714286,100229.047619048
11,4862,4e+05,0,6,601374.285714286,100229.047619048
11,4862,0,0,6,601374.285714286,100229.047619048
11,4862,0,0,6,601374.285714286,100229.047619048
11,4862,0,0,6,601374.285714286,100229.047619048
11,4862,0,0,6,601374.285714286,100229.047619048
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4879,0,0,5,171895.714285714,34379.1428571429
11,4882,0,0,4,49466.6666666667,12366.6666666667
11,4882,0,0,4,49466.6666666667,12366.6666666667
11,4882,16000,0,4,49466.6666666667,12366.6666666667
11,4882,0,0,4,49466.6666666667,12366.6666666667
11,4882,0,0,4,49466.6666666667,12366.6666666667
11,4882,0,0,4,49466.6666666667,12366.6666666667
11,4885,0,0,5,631657.619047619,126331.523809524
11,4905,0,0,4,486914.583333333,121728.645833333
11,4959,0,0,12,1315465,109622.083333333
11,4959,0,0,12,1315465,109622.083333333
11,4959,0,0,12,1315465,109622.083333333
11,4959,0,0,12,1315465,109622.083333333
11,4959,0,0,12,1315465,109622.083333333
11,4959,0,0,12,1315465,109622.083333333
11,4995,0,0,1,1551957.14285714,1551957.14285714
11,4995,0,0,1,1551957.14285714,1551957.14285714
11,4995,0,0,1,1551957.14285714,1551957.14285714
11,4995,0,0,1,1551957.14285714,1551957.14285714
11,4995,0,0,1,1551957.14285714,1551957.14285714
11,4995,0,0,1,1551957.14285714,1551957.14285714
12,4002,0,0,0.025,439485.714285714,17579428.5714286
12,4005,0,0,0.05,31091.4285714286,621828.571428571
12,4079,0,0,28,7061760,252205.714285714
12,4162,0,0,0.09375,735000,7840000
12,4379,0,0,38,3097775,81520.3947368421
12,4385,80000,0,20,2914122.73809524,145706.136904762
12,4392,0,105000,0.01875,3733160.47619048,199101892.063492
12,4402,10000,0,40,2254712.0952381,56367.8023809524
12,4405,50000,0,30,1050914.28571429,35030.4761904762
12,4412,0,0,3,462193.809523809,154064.603174603
12,4415,0,0,0.00625,1379038.57142857,220646171.428571
12,4462,2e+06,0,16,3579940.5952381,223746.287202381
12,4479,905000,0,15,6683470.47619048,445564.698412698
12,4479,7e+05,0,15,6683470.47619048,445564.698412698
12,4509,150000,24000,5,187802.468304257,37560.4936608513
12,4515,2e+06,0,32,4372907.85714286,136653.370535714
12,4575,0,0,2,149169.333333333,74584.6666666667
12,4589,3e+05,0,10,106144.285714286,10614.4285714286
12,4595,40000,0,10,444456.428571429,44445.6428571429
12,4639,0,0,6,5563115.23809524,927185.873015873
12,4672,180000,0,0.0625,29877.619047619,478041.904761904
12,4672,11000,0,0.0625,29877.619047619,478041.904761904
12,4699,1500000,0,10,1517304.44594156,151730.444594156
12,4765,0,0,6,333521.666666667,55586.9444444444
12,4765,0,0,6,333521.666666667,55586.9444444444
12,4790,2e+05,0,34,-198283.209419534,-5831.85910057454
12,4819,1200000,0,12,1341061.07142857,111755.089285714
12,4822,60000,0,15,2281710.95238095,152114.063492063
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4862,0,0,10,1078697.14285714,107869.714285714
12,4879,0,0,5,162139.285714286,32427.8571428571
12,4879,0,0,5,162139.285714286,32427.8571428571
12,4879,0,0,5,162139.285714286,32427.8571428571
12,4879,0,0,5,162139.285714286,32427.8571428571
12,4879,0,0,5,162139.285714286,32427.8571428571
12,4879,12000,0,5,162139.285714286,32427.8571428571
12,4885,0,0,1,151643.452380952,151643.452380952
12,4905,0,0,0.0375,257264.285714286,6860380.95238095
12,4942,3e+06,0,51,1500397.30532213,29419.5550063163
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4959,0,0,10,3483623.57142857,348362.357142857
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
12,4985,0,0,2,-21642.8571428571,-10821.4285714286
13,4009,0,0,0.11019288,1858308.69047619,16864144.8565115
13,4015,3e+05,0,0.025,-118500,-4740000
13,4105,0,0,0.01875,-5000,-266666.666666667
13,4192,40000,0,0.0375,2558344.24257143,68222513.1352381
13,4192,5e+05,0,0.0375,2558344.24257143,68222513.1352381
13,4369,0,0,15,5009555.19274407,333970.346182938
13,4369,2e+05,0,15,5009555.19274407,333970.346182938
13,4375,620000,0,35,3039652.71720117,86847.2204914619
13,4375,2506500,0,35,3039652.71720117,86847.2204914619
13,4385,2e+05,0,8,3105211.70744624,388151.46343078
13,4385,0,0,8,3105211.70744624,388151.46343078
13,4399,10000,28000,0.0125,2395651.42857143,191652114.285714
13,4402,0,0,4,483833.333333333,120958.333333333
13,4405,0,0,0.25,359719.047619048,1438876.19047619
13,4485,0,0,1350,3034556.68,2247.81976296296
13,4495,150000,0,0.075,4108300.73809524,54777343.1746032
13,4502,0,0,75,-67178.0952380952,-895.707936507936
13,4522,0,0,13,4108032.85714286,316002.527472527
13,4522,0,0,13,4108032.85714286,316002.527472527
13,4632,0,0,33,103480,3135.75757575758
13,4635,3345000,0,8,641137.533333333,80142.1916666667
13,4645,0,0,40,193181.893640013,4829.54734100033
13,4645,0,0,40,193181.893640013,4829.54734100033
13,4665,0,0,40,791206.689312402,19780.16723281
13,4672,50000,0,0.05,1615030,32300600
13,4672,4e+05,0,0.05,1615030,32300600
13,4672,0,0,0.05,1615030,32300600
13,4675,150000,0,8,1851253.80952381,231406.726190476
13,4699,1500000,0,0.05509644,94500,1715174.33794271
13,4729,360000,0,20,-130357.142857143,-6517.85714285714
13,4739,0,0,180,1057842.61904762,5876.90343915344
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4792,0,0,0.5509644,1494939.04761905,2713313.32408963
13,4825,0,0,40,3857906.42857143,96447.6607142857
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4862,0,0,6,-19522.3809523809,-3253.73015873016
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4879,0,0,4,350782.380952381,87695.5952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4882,0,0,5,61400.4761904762,12280.0952380952
13,4885,0,0,10,1277808.0952381,127780.80952381
13,4905,0,0,6,366205.357142857,61034.2261904762
13,4939,0,0,1,2784868.45238095,2784868.45238095
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4959,0,0,7,2094455.5952381,299207.942176871
13,4995,0,0,3,615922.857142857,205307.619047619
13,4995,0,0,3,615922.857142857,205307.619047619
13,4995,50000,0,3,615922.857142857,205307.619047619
13,4995,0,0,3,615922.857142857,205307.619047619
13,4995,0,0,3,615922.857142857,205307.619047619
13,4995,0,0,3,615922.857142857,205307.619047619
14,4005,1.4e+07,0,0.05,1636241.27484384,32724825.4968768
14,4062,6e+05,0,0.03125,850000,27200000
14,4079,280000,0,1,-13000,-13000
14,4125,5000,0,0.00625,-150374.702380952,-24059952.3809524
14,4125,500,0,0.00625,-150374.702380952,-24059952.3809524
14,4132,0,0,0.00625,737433.928571429,117989428.571429
14,4152,3e+05,0,1,-26071.4285714286,-26071.4285714286
14,4205,20000,0,0.01875,-92238.8555613459,-4919405.62993845
14,4345,0,0,2,6871809.52380952,3435904.76190476
14,4365,0,0,40,3694733.33333333,92368.3333333333
14,4369,3e+05,0,33,3183284.64285714,96463.170995671
14,4385,380000,0,65,2625955.71428571,40399.3186813187
14,4389,3e+05,0,5,2012801.71428571,402560.342857143
14,4465,650000,0,25,6333258.92857143,253330.357142857
14,4479,35000,0,4,-47738.5357142857,-11934.6339285714
14,4525,10000,0,6,5271566.66666667,878594.444444444
14,4565,0,0,6,-242466.666666667,-40411.1111111111
14,4575,0,0,10,6844185.03571429,684418.503571429
14,4582,0,0,6,624661.666666667,104110.277777778
14,4585,0,0,150,1816145.23809524,12107.6349206349
14,4589,15000,0,5,828127.142857143,165625.428571429
14,4609,30000,0,5,536350,107270
14,4615,0,0,100,1405917.73809524,14059.1773809524
