nh,clust,Unit_of_plot_area,Land_owned_by_HH
10,4149,1.74980057982641e+100,1.74980057982641e+100
11,4149,1,8
13,4149,1.74980057982641e+100,1.74980057982641e+100
15,4149,1,6
17,4149,1,1
18,4149,1,10
19,4149,1.74980057982641e+100,1.74980057982641e+100
20,4149,1,20
23,4149,1.74980057982641e+100,1.74980057982641e+100
24,4149,1,2
1,4152,1,200
2,4152,1.74980057982641e+100,1.74980057982641e+100
3,4152,1.74980057982641e+100,1.74980057982641e+100
4,4152,1.74980057982641e+100,1.74980057982641e+100
5,4152,1.74980057982641e+100,1.74980057982641e+100
7,4152,1.74980057982641e+100,1.74980057982641e+100
8,4152,2,1
9,4152,1.74980057982641e+100,1.74980057982641e+100
10,4152,3,4
12,4152,1.74980057982641e+100,1.74980057982641e+100
14,4152,1,1
17,4152,1.74980057982641e+100,1.74980057982641e+100
19,4152,1.74980057982641e+100,1.74980057982641e+100
20,4152,1.74980057982641e+100,1.74980057982641e+100
21,4152,1.74980057982641e+100,1.74980057982641e+100
23,4152,1,1
1,4155,1.74980057982641e+100,1.74980057982641e+100
4,4155,1.74980057982641e+100,1.74980057982641e+100
7,4155,3,6
9,4155,3,50
11,4155,1.74980057982641e+100,1.74980057982641e+100
12,4155,1.74980057982641e+100,1.74980057982641e+100
15,4155,1.74980057982641e+100,1.74980057982641e+100
16,4155,1.74980057982641e+100,1.74980057982641e+100
19,4155,3,1
20,4155,1.74980057982641e+100,1.74980057982641e+100
2,4159,1,5
7,4159,1,1
8,4159,1.74980057982641e+100,1.74980057982641e+100
9,4159,1.74980057982641e+100,1.74980057982641e+100
13,4159,1.74980057982641e+100,1.74980057982641e+100
15,4159,1.74980057982641e+100,1.74980057982641e+100
17,4159,1.74980057982641e+100,1.74980057982641e+100
3,4162,1.74980057982641e+100,1.74980057982641e+100
4,4162,1.74980057982641e+100,1.74980057982641e+100
12,4162,2,15
17,4165,1.74980057982641e+100,1.74980057982641e+100
6,4169,1.74980057982641e+100,1.74980057982641e+100
1,4172,1.74980057982641e+100,1.74980057982641e+100
10,4172,1.74980057982641e+100,1.74980057982641e+100
5,4175,1.74980057982641e+100,1.74980057982641e+100
10,4175,1.74980057982641e+100,1.74980057982641e+100
16,4175,1.74980057982641e+100,1.74980057982641e+100
19,4175,1.74980057982641e+100,1.74980057982641e+100
5,4179,1.74980057982641e+100,1.74980057982641e+100
10,4179,1.74980057982641e+100,1.74980057982641e+100
12,4179,1.74980057982641e+100,1.74980057982641e+100
14,4179,1.74980057982641e+100,1.74980057982641e+100
16,4179,1.74980057982641e+100,1.74980057982641e+100
9,4182,2,2
13,4182,1.74980057982641e+100,1.74980057982641e+100
15,4182,1.74980057982641e+100,1.74980057982641e+100
4,4185,1,5
1,4189,1.74980057982641e+100,1.74980057982641e+100
2,4189,1.74980057982641e+100,1.74980057982641e+100
3,4189,1.74980057982641e+100,1.74980057982641e+100
4,4189,1.74980057982641e+100,1.74980057982641e+100
5,4189,1.74980057982641e+100,1.74980057982641e+100
6,4189,1.74980057982641e+100,1.74980057982641e+100
7,4189,1.74980057982641e+100,1.74980057982641e+100
11,4189,1.74980057982641e+100,1.74980057982641e+100
12,4189,1.74980057982641e+100,1.74980057982641e+100
15,4189,1.74980057982641e+100,1.74980057982641e+100
17,4189,1.74980057982641e+100,1.74980057982641e+100
18,4189,2,1
19,4189,1.74980057982641e+100,1.74980057982641e+100
1,4192,2,15
2,4192,1.74980057982641e+100,1.74980057982641e+100
3,4192,2,30
4,4192,1.74980057982641e+100,1.74980057982641e+100
5,4192,1.74980057982641e+100,1.74980057982641e+100
7,4192,1.74980057982641e+100,1.74980057982641e+100
8,4192,2,1
9,4192,1.74980057982641e+100,1.74980057982641e+100
10,4192,1.74980057982641e+100,1.74980057982641e+100
11,4192,1.74980057982641e+100,1.74980057982641e+100
12,4192,1.74980057982641e+100,1.74980057982641e+100
13,4192,2,6
14,4192,1.74980057982641e+100,1.74980057982641e+100
15,4192,1.74980057982641e+100,1.74980057982641e+100
16,4192,1.74980057982641e+100,1.74980057982641e+100
17,4192,1.74980057982641e+100,1.74980057982641e+100
18,4192,1.74980057982641e+100,1.74980057982641e+100
19,4192,1.74980057982641e+100,1.74980057982641e+100
1,4199,1.74980057982641e+100,1.74980057982641e+100
2,4199,1.74980057982641e+100,1.74980057982641e+100
3,4199,1.74980057982641e+100,1.74980057982641e+100
4,4199,2,4
5,4199,2,1
6,4199,2,1
7,4199,2,1
8,4199,2,1
9,4199,1.74980057982641e+100,1.74980057982641e+100
10,4199,2,19
11,4199,2,3
12,4199,1.74980057982641e+100,1.74980057982641e+100
13,4199,1.74980057982641e+100,1.74980057982641e+100
14,4199,1.74980057982641e+100,1.74980057982641e+100
16,4199,1.74980057982641e+100,1.74980057982641e+100
17,4199,1.74980057982641e+100,1.74980057982641e+100
18,4199,1.74980057982641e+100,1.74980057982641e+100
19,4199,1.74980057982641e+100,1.74980057982641e+100
20,4199,1.74980057982641e+100,1.74980057982641e+100
2,4202,1.74980057982641e+100,1.74980057982641e+100
4,4202,1.74980057982641e+100,1.74980057982641e+100
5,4202,1.74980057982641e+100,1.74980057982641e+100
6,4202,1.74980057982641e+100,1.74980057982641e+100
9,4202,1,1
11,4202,1.74980057982641e+100,1.74980057982641e+100
17,4202,1.74980057982641e+100,1.74980057982641e+100
1,4205,2,8
3,4205,1.74980057982641e+100,1.74980057982641e+100
4,4205,1.74980057982641e+100,1.74980057982641e+100
5,4205,1.74980057982641e+100,1.74980057982641e+100
6,4205,2,1
7,4205,1.74980057982641e+100,1.74980057982641e+100
8,4205,1.74980057982641e+100,1.74980057982641e+100
9,4205,1.74980057982641e+100,1.74980057982641e+100
10,4205,1.74980057982641e+100,1.74980057982641e+100
11,4205,1.74980057982641e+100,1.74980057982641e+100
12,4205,1.74980057982641e+100,1.74980057982641e+100
13,4205,1.74980057982641e+100,1.74980057982641e+100
14,4205,2,3
15,4205,1.74980057982641e+100,1.74980057982641e+100
16,4205,2,1
17,4205,1.74980057982641e+100,1.74980057982641e+100
18,4205,1.74980057982641e+100,1.74980057982641e+100
19,4205,2,15
20,4205,1.74980057982641e+100,1.74980057982641e+100
1,4209,1.74980057982641e+100,1.74980057982641e+100
3,4209,1.74980057982641e+100,1.74980057982641e+100
6,4209,1.74980057982641e+100,1.74980057982641e+100
8,4209,1,3
12,4209,1.74980057982641e+100,1.74980057982641e+100
15,4209,1.74980057982641e+100,1.74980057982641e+100
19,4209,1.74980057982641e+100,1.74980057982641e+100
17,4212,1.74980057982641e+100,1.74980057982641e+100
19,4212,1.74980057982641e+100,1.74980057982641e+100
5,4235,1.74980057982641e+100,1.74980057982641e+100
12,4242,1.74980057982641e+100,1.74980057982641e+100
19,4249,1.74980057982641e+100,1.74980057982641e+100
9,4322,3,1
17,4322,1.74980057982641e+100,1.74980057982641e+100
7,4329,1,4
9,4329,1,5
10,4329,1.74980057982641e+100,1.74980057982641e+100
14,4329,1.74980057982641e+100,1.74980057982641e+100
2,4332,1.74980057982641e+100,1.74980057982641e+100
2,4335,1.74980057982641e+100,1.74980057982641e+100
5,4335,1.74980057982641e+100,1.74980057982641e+100
9,4335,1.74980057982641e+100,1.74980057982641e+100
11,4335,1.74980057982641e+100,1.74980057982641e+100
15,4335,1,3
18,4335,1.74980057982641e+100,1.74980057982641e+100
19,4335,1.74980057982641e+100,1.74980057982641e+100
1,4339,1.74980057982641e+100,1.74980057982641e+100
2,4339,1,1
6,4339,1.74980057982641e+100,1.74980057982641e+100
10,4339,1.74980057982641e+100,1.74980057982641e+100
11,4339,1.74980057982641e+100,1.74980057982641e+100
1,4342,1.74980057982641e+100,1.74980057982641e+100
2,4342,1.74980057982641e+100,1.74980057982641e+100
3,4342,1.74980057982641e+100,1.74980057982641e+100
5,4342,1.74980057982641e+100,1.74980057982641e+100
7,4342,1.74980057982641e+100,1.74980057982641e+100
8,4342,1,5
9,4342,1.74980057982641e+100,1.74980057982641e+100
10,4342,1,6
12,4342,1.74980057982641e+100,1.74980057982641e+100
14,4342,1.74980057982641e+100,1.74980057982641e+100
16,4342,1.74980057982641e+100,1.74980057982641e+100
17,4342,1.74980057982641e+100,1.74980057982641e+100
18,4342,1.74980057982641e+100,1.74980057982641e+100
19,4342,1.74980057982641e+100,1.74980057982641e+100
20,4342,1.74980057982641e+100,1.74980057982641e+100
22,4342,1.74980057982641e+100,1.74980057982641e+100
23,4342,1.74980057982641e+100,1.74980057982641e+100
24,4342,1.74980057982641e+100,1.74980057982641e+100
1,4345,1,3
2,4345,1,25
3,4345,1,1
4,4345,1,6
5,4345,1,2
6,4345,1,5
7,4345,1,5
8,4345,1,25
9,4345,1,15
10,4345,2,75
11,4345,1,2
12,4345,1,3
13,4345,1,2
14,4345,1,2
15,4345,1,25
16,4345,1,4
17,4345,1,3
18,4345,1,1
19,4345,1,25
20,4345,1,43
1,4349,1.74980057982641e+100,1.74980057982641e+100
3,4349,1,40
10,4349,1.74980057982641e+100,1.74980057982641e+100
2,4352,1.74980057982641e+100,1.74980057982641e+100
3,4352,1.74980057982641e+100,1.74980057982641e+100
4,4352,1.74980057982641e+100,1.74980057982641e+100
6,4352,1.74980057982641e+100,1.74980057982641e+100
7,4352,1.74980057982641e+100,1.74980057982641e+100
8,4352,1.74980057982641e+100,1.74980057982641e+100
9,4352,1.74980057982641e+100,1.74980057982641e+100
10,4352,1.74980057982641e+100,1.74980057982641e+100
11,4352,1.74980057982641e+100,1.74980057982641e+100
12,4352,1.74980057982641e+100,1.74980057982641e+100
13,4352,1.74980057982641e+100,1.74980057982641e+100
15,4352,1.74980057982641e+100,1.74980057982641e+100
16,4352,1.74980057982641e+100,1.74980057982641e+100
17,4352,1.74980057982641e+100,1.74980057982641e+100
18,4352,1.74980057982641e+100,1.74980057982641e+100
19,4352,1.74980057982641e+100,1.74980057982641e+100
20,4352,1.74980057982641e+100,1.74980057982641e+100
1,4355,2,9
2,4355,1.74980057982641e+100,1.74980057982641e+100
3,4355,1.74980057982641e+100,1.74980057982641e+100
4,4355,2,3
5,4355,2,2
6,4355,2,15
7,4355,2,10
8,4355,1,10
9,4355,2,1
10,4355,1,8
12,4355,1,3
13,4355,2,5
14,4355,1.74980057982641e+100,1.74980057982641e+100
15,4355,2,8
16,4355,1,10
17,4355,1.74980057982641e+100,1.74980057982641e+100
18,4355,2,20
19,4355,1,7
20,4355,1,15
1,4359,2,5
2,4359,1.74980057982641e+100,1.74980057982641e+100
3,4359,1.74980057982641e+100,1.74980057982641e+100
4,4359,3,11
7,4359,1,2
8,4359,1.74980057982641e+100,1.74980057982641e+100
9,4359,1.74980057982641e+100,1.74980057982641e+100
10,4359,2,6
11,4359,2,106
12,4359,2,12
13,4359,2,4
14,4359,1.74980057982641e+100,1.74980057982641e+100
15,4359,1.74980057982641e+100,1.74980057982641e+100
16,4359,1.74980057982641e+100,1.74980057982641e+100
17,4359,2,9
18,4359,1.74980057982641e+100,1.74980057982641e+100
19,4359,1.74980057982641e+100,1.74980057982641e+100
20,4359,1.74980057982641e+100,1.74980057982641e+100
21,4359,1.74980057982641e+100,1.74980057982641e+100
22,4359,1.74980057982641e+100,1.74980057982641e+100
2,4362,1.74980057982641e+100,1.74980057982641e+100
3,4362,1.74980057982641e+100,1.74980057982641e+100
4,4362,1.74980057982641e+100,1.74980057982641e+100
5,4362,1.74980057982641e+100,1.74980057982641e+100
6,4362,1.74980057982641e+100,1.74980057982641e+100
7,4362,1.74980057982641e+100,1.74980057982641e+100
9,4362,1.74980057982641e+100,1.74980057982641e+100
15,4362,1.74980057982641e+100,1.74980057982641e+100
16,4362,1.74980057982641e+100,1.74980057982641e+100
18,4362,1.74980057982641e+100,1.74980057982641e+100
19,4362,1.74980057982641e+100,1.74980057982641e+100
20,4362,1.74980057982641e+100,1.74980057982641e+100
22,4362,1.74980057982641e+100,1.74980057982641e+100
25,4362,1.74980057982641e+100,1.74980057982641e+100
1,4365,2,16
2,4365,2,15
3,4365,2,6
4,4365,1,7
5,4365,1,15
6,4365,1,9
7,4365,1,27
8,4365,1,4
9,4365,2,3
10,4365,2,5
11,4365,1,35
12,4365,1,10
13,4365,1.74980057982641e+100,1.74980057982641e+100
14,4365,1,40
15,4365,3,3
16,4365,3,11
17,4365,3,18
18,4365,3,18
19,4365,3,20
20,4365,3,4
1,4369,1.74980057982641e+100,1.74980057982641e+100
3,4369,1,12
5,4369,1,9
6,4369,1,49
7,4369,2,6
8,4369,1.74980057982641e+100,1.74980057982641e+100
9,4369,2,6
10,4369,1,5
13,4369,1,15
14,4369,1,33
15,4369,2,16
16,4369,1,17
17,4369,1,12
18,4369,1.74980057982641e+100,1.74980057982641e+100
19,4369,1,10
21,4369,1,15
22,4369,2,25
23,4369,1,21
24,4369,1,25
1,4372,1,13
2,4372,1,13
3,4372,1,6
4,4372,1,10
5,4372,1.74980057982641e+100,1.74980057982641e+100
6,4372,1,20
7,4372,1,2
8,4372,1,5
9,4372,1.74980057982641e+100,1.74980057982641e+100
10,4372,1,20
11,4372,1,12
12,4372,1.74980057982641e+100,1.74980057982641e+100
13,4372,1,12
14,4372,1.74980057982641e+100,1.74980057982641e+100
16,4372,1.74980057982641e+100,1.74980057982641e+100
17,4372,1,18
18,4372,1,18
19,4372,1.74980057982641e+100,1.74980057982641e+100
20,4372,1.74980057982641e+100,1.74980057982641e+100
21,4372,1,19
1,4375,1.74980057982641e+100,1.74980057982641e+100
2,4375,1,20
3,4375,1.74980057982641e+100,1.74980057982641e+100
4,4375,1.74980057982641e+100,1.74980057982641e+100
5,4375,1.74980057982641e+100,1.74980057982641e+100
6,4375,1.74980057982641e+100,1.74980057982641e+100
7,4375,1.74980057982641e+100,1.74980057982641e+100
8,4375,1.74980057982641e+100,1.74980057982641e+100
9,4375,1.74980057982641e+100,1.74980057982641e+100
10,4375,1.74980057982641e+100,1.74980057982641e+100
11,4375,1.74980057982641e+100,1.74980057982641e+100
12,4375,1.74980057982641e+100,1.74980057982641e+100
13,4375,1,35
14,4375,1.74980057982641e+100,1.74980057982641e+100
15,4375,2,15
16,4375,1.74980057982641e+100,1.74980057982641e+100
17,4375,2,6
18,4375,1.74980057982641e+100,1.74980057982641e+100
19,4375,1,14
20,4375,1,15
1,4379,1,30
2,4379,1,9
3,4379,1.74980057982641e+100,1.74980057982641e+100
4,4379,3,18
5,4379,1,20
6,4379,1,10
7,4379,1,10
8,4379,1,4
9,4379,1,21
10,4379,1,6
11,4379,1.74980057982641e+100,1.74980057982641e+100
12,4379,1,38
13,4379,1,5
14,4379,1,8
15,4379,1,5
16,4379,1,4
17,4379,1,12
18,4379,1,22
19,4379,1,20
20,4379,1,75
1,4382,1,28
2,4382,1.74980057982641e+100,1.74980057982641e+100
3,4382,1,14
4,4382,1.74980057982641e+100,1.74980057982641e+100
5,4382,1,45
6,4382,1,15
7,4382,1.74980057982641e+100,1.74980057982641e+100
8,4382,1,4
10,4382,1,2
11,4382,1.74980057982641e+100,1.74980057982641e+100
12,4382,1.74980057982641e+100,1.74980057982641e+100
13,4382,1.74980057982641e+100,1.74980057982641e+100
14,4382,1.74980057982641e+100,1.74980057982641e+100
15,4382,1.74980057982641e+100,1.74980057982641e+100
16,4382,1.74980057982641e+100,1.74980057982641e+100
17,4382,1,4
18,4382,1.74980057982641e+100,1.74980057982641e+100
19,4382,1.74980057982641e+100,1.74980057982641e+100
20,4382,1.74980057982641e+100,1.74980057982641e+100
1,4385,1,26
2,4385,1,6
3,4385,1.74980057982641e+100,1.74980057982641e+100
4,4385,1.74980057982641e+100,1.74980057982641e+100
5,4385,1,25
6,4385,1,7
7,4385,1,10
8,4385,1,15
9,4385,1,6
10,4385,1,6
11,4385,1.74980057982641e+100,1.74980057982641e+100
12,4385,1,20
13,4385,1,8
14,4385,1,65
15,4385,1,6
16,4385,1,4
17,4385,1,10
18,4385,1,1
19,4385,1,9
20,4385,1,20
1,4389,2,1
2,4389,1.74980057982641e+100,1.74980057982641e+100
3,4389,3,1
4,4389,3,2
5,4389,3,1
6,4389,3,1
7,4389,4,1
8,4389,3,1
9,4389,3,1
10,4389,2,1
11,4389,2,1
12,4389,2,1
13,4389,1,11
14,4389,1,5
15,4389,1,15
16,4389,1,18
17,4389,1,7
18,4389,1,7
19,4389,1,68
20,4389,1,32
1,4392,1.74980057982641e+100,1.74980057982641e+100
2,4392,1.74980057982641e+100,1.74980057982641e+100
3,4392,1.74980057982641e+100,1.74980057982641e+100
4,4392,1.74980057982641e+100,1.74980057982641e+100
5,4392,1,6
6,4392,2,11
7,4392,1.74980057982641e+100,1.74980057982641e+100
8,4392,1.74980057982641e+100,1.74980057982641e+100
9,4392,1.74980057982641e+100,1.74980057982641e+100
10,4392,1.74980057982641e+100,1.74980057982641e+100
11,4392,2,10
12,4392,2,3
13,4392,1,50
14,4392,2,7
15,4392,1.74980057982641e+100,1.74980057982641e+100
16,4392,1.74980057982641e+100,1.74980057982641e+100
17,4392,1.74980057982641e+100,1.74980057982641e+100
18,4392,1.74980057982641e+100,1.74980057982641e+100
19,4392,1.74980057982641e+100,1.74980057982641e+100
20,4392,1.74980057982641e+100,1.74980057982641e+100
1,4395,1.74980057982641e+100,1.74980057982641e+100
2,4395,1.74980057982641e+100,1.74980057982641e+100
3,4395,1.74980057982641e+100,1.74980057982641e+100
4,4395,1,18
5,4395,1,75
6,4395,1.74980057982641e+100,1.74980057982641e+100
7,4395,1.74980057982641e+100,1.74980057982641e+100
8,4395,1.74980057982641e+100,1.74980057982641e+100
9,4395,1.74980057982641e+100,1.74980057982641e+100
10,4395,1.74980057982641e+100,1.74980057982641e+100
11,4395,1.74980057982641e+100,1.74980057982641e+100
12,4395,1.74980057982641e+100,1.74980057982641e+100
13,4395,1.74980057982641e+100,1.74980057982641e+100
14,4395,1.74980057982641e+100,1.74980057982641e+100
15,4395,1.74980057982641e+100,1.74980057982641e+100
16,4395,1.74980057982641e+100,1.74980057982641e+100
17,4395,1.74980057982641e+100,1.74980057982641e+100
18,4395,1.74980057982641e+100,1.74980057982641e+100
19,4395,1.74980057982641e+100,1.74980057982641e+100
20,4395,1.74980057982641e+100,1.74980057982641e+100
1,4399,2,25
2,4399,1.74980057982641e+100,1.74980057982641e+100
3,4399,1.74980057982641e+100,1.74980057982641e+100
4,4399,1.74980057982641e+100,1.74980057982641e+100
5,4399,1.74980057982641e+100,1.74980057982641e+100
6,4399,1.74980057982641e+100,1.74980057982641e+100
7,4399,2,20
8,4399,1.74980057982641e+100,1.74980057982641e+100
9,4399,1,12
10,4399,1.74980057982641e+100,1.74980057982641e+100
11,4399,2,8
12,4399,1.74980057982641e+100,1.74980057982641e+100
13,4399,2,2
14,4399,1.74980057982641e+100,1.74980057982641e+100
15,4399,1.74980057982641e+100,1.74980057982641e+100
16,4399,2,4
17,4399,1.74980057982641e+100,1.74980057982641e+100
18,4399,1.74980057982641e+100,1.74980057982641e+100
19,4399,1.74980057982641e+100,1.74980057982641e+100
20,4399,1,2
1,4402,1.74980057982641e+100,1.74980057982641e+100
2,4402,1.74980057982641e+100,1.74980057982641e+100
3,4402,1.74980057982641e+100,1.74980057982641e+100
4,4402,1,20
5,4402,1.74980057982641e+100,1.74980057982641e+100
6,4402,1.74980057982641e+100,1.74980057982641e+100
7,4402,1.74980057982641e+100,1.74980057982641e+100
8,4402,1.74980057982641e+100,1.74980057982641e+100
9,4402,1.74980057982641e+100,1.74980057982641e+100
10,4402,1.74980057982641e+100,1.74980057982641e+100
11,4402,1,50
12,4402,1,40
13,4402,1,4
14,4402,1.74980057982641e+100,1.74980057982641e+100
15,4402,1.74980057982641e+100,1.74980057982641e+100
16,4402,2,8
17,4402,1.74980057982641e+100,1.74980057982641e+100
18,4402,2,15
19,4402,2,26
20,4402,2,16
1,4405,3,15
2,4405,1,10
3,4405,2,25
4,4405,2,22
5,4405,2,20
6,4405,2,10
7,4405,1,11
8,4405,1,19
9,4405,2,5
10,4405,1,20
11,4405,2,10
12,4405,1,30
13,4405,2,40
14,4405,1,10
15,4405,1.74980057982641e+100,1.74980057982641e+100
16,4405,2,15
17,4405,1,16
18,4405,2,20
19,4405,2,30
20,4405,1,14
1,4408,1.74980057982641e+100,1.74980057982641e+100
2,4408,1.74980057982641e+100,1.74980057982641e+100
4,4408,1.74980057982641e+100,1.74980057982641e+100
5,4408,1.74980057982641e+100,1.74980057982641e+100
6,4408,1.74980057982641e+100,1.74980057982641e+100
7,4408,1.74980057982641e+100,1.74980057982641e+100
8,4408,1.74980057982641e+100,1.74980057982641e+100
9,4408,1.74980057982641e+100,1.74980057982641e+100
10,4408,2,1
11,4408,1.74980057982641e+100,1.74980057982641e+100
12,4408,1.74980057982641e+100,1.74980057982641e+100
13,4408,1.74980057982641e+100,1.74980057982641e+100
15,4408,1,1
16,4408,1.74980057982641e+100,1.74980057982641e+100
17,4408,1.74980057982641e+100,1.74980057982641e+100
18,4408,1.74980057982641e+100,1.74980057982641e+100
19,4408,1.74980057982641e+100,1.74980057982641e+100
20,4408,1.74980057982641e+100,1.74980057982641e+100
1,4412,1.74980057982641e+100,1.74980057982641e+100
2,4412,1.74980057982641e+100,1.74980057982641e+100
3,4412,1.74980057982641e+100,1.74980057982641e+100
4,4412,1,23
5,4412,1.74980057982641e+100,1.74980057982641e+100
6,4412,1,6
7,4412,1,2
8,4412,1,3
9,4412,1,22
10,4412,1.74980057982641e+100,1.74980057982641e+100
11,4412,1.74980057982641e+100,1.74980057982641e+100
12,4412,1,3
13,4412,1,5
14,4412,1.74980057982641e+100,1.74980057982641e+100
15,4412,1,3
16,4412,1.74980057982641e+100,1.74980057982641e+100
17,4412,1,5
18,4412,1.74980057982641e+100,1.74980057982641e+100
19,4412,1,1
20,4412,1.74980057982641e+100,1.74980057982641e+100
1,4415,1.74980057982641e+100,1.74980057982641e+100
2,4415,1.74980057982641e+100,1.74980057982641e+100
3,4415,1.74980057982641e+100,1.74980057982641e+100
4,4415,1.74980057982641e+100,1.74980057982641e+100
5,4415,1.74980057982641e+100,1.74980057982641e+100
6,4415,1,9
7,4415,1,13
8,4415,1,7
9,4415,1.74980057982641e+100,1.74980057982641e+100
10,4415,1.74980057982641e+100,1.74980057982641e+100
11,4415,1.74980057982641e+100,1.74980057982641e+100
12,4415,2,1
13,4415,1,20
14,4415,1.74980057982641e+100,1.74980057982641e+100
15,4415,1,32
16,4415,1,5
17,4415,1.74980057982641e+100,1.74980057982641e+100
18,4415,1.74980057982641e+100,1.74980057982641e+100
19,4415,1.74980057982641e+100,1.74980057982641e+100
20,4415,1,15
1,4419,1.74980057982641e+100,1.74980057982641e+100
2,4419,1.74980057982641e+100,1.74980057982641e+100
3,4419,1.74980057982641e+100,1.74980057982641e+100
4,4419,1,2
6,4419,1,12
7,4419,1.74980057982641e+100,1.74980057982641e+100
8,4419,3,6
9,4419,1.74980057982641e+100,1.74980057982641e+100
10,4419,1.74980057982641e+100,1.74980057982641e+100
11,4419,1.74980057982641e+100,1.74980057982641e+100
15,4419,1.74980057982641e+100,1.74980057982641e+100
16,4419,1.74980057982641e+100,1.74980057982641e+100
18,4419,1.74980057982641e+100,1.74980057982641e+100
19,4419,3,54
20,4419,1.74980057982641e+100,1.74980057982641e+100
21,4419,1,4
22,4419,1,15
23,4419,1.74980057982641e+100,1.74980057982641e+100
25,4419,1.74980057982641e+100,1.74980057982641e+100
1,4422,1,13
2,4422,1,13
3,4422,1.74980057982641e+100,1.74980057982641e+100
4,4422,1,4
5,4422,1,15
6,4422,1,2
7,4422,1,10
8,4422,1.74980057982641e+100,1.74980057982641e+100
9,4422,1,1
10,4422,1,10
11,4422,1,24
12,4422,1,3
13,4422,1,4
14,4422,1,7
15,4422,1.74980057982641e+100,1.74980057982641e+100
16,4422,1,12
17,4422,1.74980057982641e+100,1.74980057982641e+100
18,4422,1.74980057982641e+100,1.74980057982641e+100
19,4422,1,15
20,4422,1,118
1,4425,1.74980057982641e+100,1.74980057982641e+100
2,4425,1.74980057982641e+100,1.74980057982641e+100
3,4425,1.74980057982641e+100,1.74980057982641e+100
4,4425,3,6
5,4425,1.74980057982641e+100,1.74980057982641e+100
6,4425,1.74980057982641e+100,1.74980057982641e+100
7,4425,1.74980057982641e+100,1.74980057982641e+100
8,4425,3,12
9,4425,1.74980057982641e+100,1.74980057982641e+100
10,4425,1.74980057982641e+100,1.74980057982641e+100
12,4425,1.74980057982641e+100,1.74980057982641e+100
13,4425,1.74980057982641e+100,1.74980057982641e+100
14,4425,1,1
15,4425,1.74980057982641e+100,1.74980057982641e+100
16,4425,1.74980057982641e+100,1.74980057982641e+100
17,4425,1.74980057982641e+100,1.74980057982641e+100
18,4425,1.74980057982641e+100,1.74980057982641e+100
19,4425,3,144
20,4425,1.74980057982641e+100,1.74980057982641e+100
1,4429,3,4
2,4429,1.74980057982641e+100,1.74980057982641e+100
3,4429,1.74980057982641e+100,1.74980057982641e+100
4,4429,1.74980057982641e+100,1.74980057982641e+100
5,4429,1.74980057982641e+100,1.74980057982641e+100
6,4429,1.74980057982641e+100,1.74980057982641e+100
7,4429,1.74980057982641e+100,1.74980057982641e+100
8,4429,1.74980057982641e+100,1.74980057982641e+100
9,4429,1.74980057982641e+100,1.74980057982641e+100
10,4429,1,4
11,4429,1,20
13,4429,1.74980057982641e+100,1.74980057982641e+100
14,4429,3,1
15,4429,1.74980057982641e+100,1.74980057982641e+100
16,4429,1.74980057982641e+100,1.74980057982641e+100
17,4429,1.74980057982641e+100,1.74980057982641e+100
18,4429,1.74980057982641e+100,1.74980057982641e+100
19,4429,1.74980057982641e+100,1.74980057982641e+100
20,4429,3,2
25,4429,3,4
1,4433,3,66
2,4433,3,5
3,4433,1.74980057982641e+100,1.74980057982641e+100
4,4433,3,30
5,4433,3,22
6,4433,1.74980057982641e+100,1.74980057982641e+100
7,4433,3,180
8,4433,3,3
9,4433,3,1022
10,4433,3,19
11,4433,3,3
12,4433,1.74980057982641e+100,1.74980057982641e+100
13,4433,1.74980057982641e+100,1.74980057982641e+100
14,4433,1.74980057982641e+100,1.74980057982641e+100
15,4433,3,10
16,4433,3,8
17,4433,1.74980057982641e+100,1.74980057982641e+100
18,4433,3,5
19,4433,1.74980057982641e+100,1.74980057982641e+100
20,4433,3,7
1,4435,1.74980057982641e+100,1.74980057982641e+100
3,4435,1.74980057982641e+100,1.74980057982641e+100
4,4435,1.74980057982641e+100,1.74980057982641e+100
6,4435,3,40
7,4435,3,17
8,4435,1,24
9,4435,1.74980057982641e+100,1.74980057982641e+100
10,4435,3,12
11,4435,3,4
12,4435,1.74980057982641e+100,1.74980057982641e+100
13,4435,1.74980057982641e+100,1.74980057982641e+100
14,4435,1.74980057982641e+100,1.74980057982641e+100
15,4435,1.74980057982641e+100,1.74980057982641e+100
16,4435,1.74980057982641e+100,1.74980057982641e+100
17,4435,1.74980057982641e+100,1.74980057982641e+100
18,4435,3,46
20,4435,1.74980057982641e+100,1.74980057982641e+100
21,4435,1.74980057982641e+100,1.74980057982641e+100
22,4435,1.74980057982641e+100,1.74980057982641e+100
23,4435,1.74980057982641e+100,1.74980057982641e+100
1,4439,1,3
2,4439,1,2
7,4439,1,10
9,4439,1,2
12,4439,1,1
13,4439,1,2
15,4439,1,1
17,4439,1,1
18,4439,1,1
20,4439,1,2
21,4439,1,1
2,4442,1.74980057982641e+100,1.74980057982641e+100
4,4442,1.74980057982641e+100,1.74980057982641e+100
6,4442,1.74980057982641e+100,1.74980057982641e+100
8,4442,1.74980057982641e+100,1.74980057982641e+100
9,4442,1.74980057982641e+100,1.74980057982641e+100
11,4442,1.74980057982641e+100,1.74980057982641e+100
12,4442,1.74980057982641e+100,1.74980057982641e+100
13,4442,1.74980057982641e+100,1.74980057982641e+100
14,4442,1.74980057982641e+100,1.74980057982641e+100
15,4442,3,24
