nh,clust,Amount_spend_on_self_help_project
9,4145,0
10,4145,26000
11,4145,0
12,4145,0
13,4145,0
14,4145,0
15,4145,0
16,4145,0
17,4145,0
18,4145,5000
19,4145,0
20,4145,0
1,4149,0
2,4149,0
3,4149,0
5,4149,0
6,4149,0
7,4149,0
8,4149,0
9,4149,0
10,4149,0
11,4149,0
12,4149,0
13,4149,0
15,4149,0
16,4149,0
17,4149,0
18,4149,0
19,4149,0
20,4149,0
23,4149,0
24,4149,0
1,4152,8e+05
2,4152,0
3,4152,0
4,4152,62000
5,4152,0
6,4152,20000
7,4152,0
8,4152,0
9,4152,0
10,4152,4800
11,4152,0
12,4152,19200
14,4152,120000
15,4152,36000
17,4152,0
18,4152,0
19,4152,12000
20,4152,0
21,4152,0
23,4152,24000
1,4155,0
2,4155,20000
3,4155,5000
4,4155,0
5,4155,0
6,4155,0
7,4155,0
8,4155,2000
9,4155,0
10,4155,5000
11,4155,0
12,4155,0
13,4155,0
14,4155,3000
15,4155,0
16,4155,0
17,4155,0
18,4155,0
19,4155,0
20,4155,0
1,4159,0
2,4159,0
3,4159,0
5,4159,0
6,4159,0
7,4159,0
8,4159,0
9,4159,0
10,4159,0
11,4159,0
12,4159,0
13,4159,0
14,4159,0
15,4159,0
16,4159,0
17,4159,0
18,4159,0
19,4159,0
20,4159,0
21,4159,0
1,4162,0
2,4162,1000
3,4162,50000
4,4162,50000
5,4162,10000
6,4162,5000
7,4162,5000
8,4162,0
9,4162,0
10,4162,10000
11,4162,2000
12,4162,30000
13,4162,0
14,4162,5000
15,4162,0
16,4162,2000
17,4162,50000
18,4162,10000
19,4162,0
20,4162,3000
2,4165,0
3,4165,6000
4,4165,6000
5,4165,10000
6,4165,6000
7,4165,0
8,4165,0
9,4165,6000
10,4165,56000
11,4165,0
12,4165,0
13,4165,0
14,4165,0
15,4165,0
16,4165,6000
17,4165,0
19,4165,5000
20,4165,66000
21,4165,0
22,4165,0
1,4169,0
2,4169,0
3,4169,0
4,4169,0
5,4169,0
6,4169,0
7,4169,0
8,4169,0
9,4169,0
10,4169,0
11,4169,0
12,4169,0
13,4169,0
14,4169,0
15,4169,0
16,4169,0
17,4169,0
18,4169,0
19,4169,0
20,4169,0
1,4172,8000
2,4172,0
3,4172,0
4,4172,0
5,4172,0
6,4172,4000
7,4172,0
8,4172,0
9,4172,0
10,4172,0
11,4172,0
12,4172,0
13,4172,0
14,4172,0
15,4172,0
16,4172,0
17,4172,0
18,4172,0
19,4172,0
20,4172,0
1,4175,0
2,4175,0
3,4175,0
4,4175,0
5,4175,0
6,4175,0
7,4175,0
8,4175,0
9,4175,0
10,4175,0
11,4175,0
12,4175,0
13,4175,0
14,4175,0
15,4175,0
16,4175,0
17,4175,0
18,4175,0
19,4175,0
20,4175,0
1,4179,0
2,4179,0
3,4179,0
4,4179,0
5,4179,0
6,4179,0
7,4179,0
8,4179,0
9,4179,0
10,4179,0
11,4179,0
12,4179,0
13,4179,0
14,4179,0
15,4179,0
16,4179,0
17,4179,0
18,4179,0
19,4179,0
20,4179,0
1,4182,0
2,4182,0
3,4182,0
4,4182,0
5,4182,0
6,4182,0
7,4182,0
8,4182,0
9,4182,20000
10,4182,0
11,4182,0
12,4182,0
13,4182,0
14,4182,0
15,4182,0
16,4182,0
17,4182,0
18,4182,0
20,4182,0
21,4182,0
1,4185,0
2,4185,0
3,4185,0
4,4185,0
5,4185,0
6,4185,0
7,4185,0
8,4185,0
9,4185,40100
10,4185,0
11,4185,4000
12,4185,0
13,4185,5000
14,4185,5000
15,4185,0
16,4185,0
17,4185,0
18,4185,0
19,4185,0
20,4185,0
1,4189,20000
2,4189,0
3,4189,60000
4,4189,0
5,4189,0
6,4189,20000
7,4189,5000
8,4189,0
9,4189,0
10,4189,0
11,4189,0
12,4189,0
13,4189,12000
14,4189,0
15,4189,0
16,4189,0
17,4189,0
18,4189,0
19,4189,0
20,4189,0
1,4192,0
2,4192,0
3,4192,3000
4,4192,0
5,4192,0
6,4192,0
7,4192,0
8,4192,6000
9,4192,0
10,4192,2000
11,4192,0
12,4192,0
13,4192,0
14,4192,20000
15,4192,0
16,4192,0
17,4192,36000
18,4192,0
19,4192,5000
20,4192,0
1,4195,0
2,4195,0
3,4195,0
4,4195,0
5,4195,0
6,4195,0
7,4195,0
8,4195,0
9,4195,0
10,4195,0
11,4195,0
12,4195,0
13,4195,0
14,4195,0
15,4195,0
16,4195,0
17,4195,0
18,4195,0
19,4195,0
24,4195,0
1,4199,0
2,4199,0
3,4199,0
4,4199,0
5,4199,0
6,4199,0
7,4199,0
8,4199,0
9,4199,0
10,4199,0
11,4199,0
12,4199,0
13,4199,0
14,4199,0
15,4199,0
16,4199,0
17,4199,0
18,4199,0
19,4199,0
20,4199,0
1,4202,10000
2,4202,0
3,4202,0
4,4202,4000
5,4202,0
6,4202,0
7,4202,0
8,4202,0
9,4202,22000
10,4202,0
11,4202,0
12,4202,0
13,4202,0
14,4202,0
15,4202,2000
16,4202,0
17,4202,22000
18,4202,0
19,4202,51000
22,4202,0
1,4205,0
2,4205,0
3,4205,0
4,4205,0
5,4205,0
6,4205,0
7,4205,0
8,4205,40000
9,4205,0
10,4205,3500
11,4205,5000
12,4205,0
13,4205,0
14,4205,0
15,4205,4000
16,4205,0
17,4205,0
18,4205,5000
19,4205,7000
20,4205,0
1,4209,2000
2,4209,0
3,4209,0
4,4209,20000
5,4209,0
6,4209,12000
7,4209,50000
8,4209,0
9,4209,0
10,4209,0
11,4209,15000
12,4209,0
13,4209,0
14,4209,2000
15,4209,0
16,4209,20000
17,4209,0
18,4209,0
19,4209,20000
20,4209,0
1,4212,0
2,4212,0
3,4212,2000
4,4212,0
5,4212,0
6,4212,10000
7,4212,50000
8,4212,0
9,4212,0
10,4212,0
11,4212,15000
12,4212,0
13,4212,0
14,4212,0
15,4212,0
16,4212,10000
17,4212,20000
18,4212,0
19,4212,0
20,4212,30000
1,4215,0
2,4215,0
3,4215,0
4,4215,0
5,4215,0
6,4215,0
7,4215,0
8,4215,0
9,4215,0
10,4215,0
11,4215,0
12,4215,0
13,4215,0
14,4215,0
15,4215,0
16,4215,1e+06
17,4215,0
18,4215,0
19,4215,0
20,4215,0
1,4219,0
2,4219,0
3,4219,0
4,4219,0
5,4219,0
6,4219,0
7,4219,0
8,4219,50000
9,4219,0
10,4219,2000
11,4219,0
12,4219,0
13,4219,0
14,4219,0
15,4219,0
16,4219,0
17,4219,0
18,4219,5000
19,4219,0
20,4219,0
1,4222,0
2,4222,0
3,4222,0
4,4222,0
5,4222,0
6,4222,0
7,4222,0
8,4222,0
9,4222,0
10,4222,0
11,4222,0
12,4222,0
13,4222,0
14,4222,0
16,4222,0
17,4222,0
18,4222,0
20,4222,0
23,4222,0
24,4222,0
1,4225,0
2,4225,0
3,4225,0
4,4225,0
5,4225,0
8,4225,0
9,4225,0
10,4225,0
11,4225,0
12,4225,0
13,4225,0
14,4225,0
15,4225,0
16,4225,0
17,4225,0
18,4225,0
19,4225,0
20,4225,0
23,4225,0
24,4225,0
1,4229,0
2,4229,0
3,4229,0
4,4229,0
5,4229,0
6,4229,0
7,4229,0
8,4229,0
9,4229,0
10,4229,0
11,4229,0
12,4229,0
13,4229,0
14,4229,0
15,4229,0
16,4229,0
17,4229,0
18,4229,0
19,4229,0
20,4229,0
1,4232,0
2,4232,0
3,4232,5000
4,4232,0
5,4232,0
6,4232,0
7,4232,0
8,4232,0
9,4232,0
10,4232,0
11,4232,0
12,4232,0
13,4232,0
14,4232,0
15,4232,0
16,4232,1000
17,4232,20000
18,4232,0
19,4232,0
20,4232,0
1,4235,0
2,4235,0
3,4235,0
4,4235,0
5,4235,0
6,4235,0
7,4235,0
8,4235,0
9,4235,0
10,4235,5e+05
11,4235,0
12,4235,0
13,4235,0
14,4235,0
15,4235,0
16,4235,0
17,4235,0
18,4235,0
19,4235,0
20,4235,0
1,4239,0
2,4239,0
3,4239,0
4,4239,0
5,4239,0
6,4239,0
7,4239,0
8,4239,0
9,4239,0
10,4239,4e+05
11,4239,0
12,4239,5e+05
13,4239,0
14,4239,0
15,4239,0
16,4239,0
17,4239,0
18,4239,0
19,4239,0
20,4239,0
1,4242,0
2,4242,0
3,4242,0
4,4242,0
5,4242,320000
6,4242,0
7,4242,0
8,4242,0
9,4242,0
10,4242,0
11,4242,0
12,4242,0
14,4242,0
15,4242,0
16,4242,0
17,4242,7000
18,4242,0
19,4242,4e+05
20,4242,0
24,4242,0
1,4245,0
2,4245,0
3,4245,0
4,4245,0
6,4245,0
7,4245,0
8,4245,0
9,4245,0
10,4245,0
11,4245,0
12,4245,0
13,4245,0
14,4245,0
15,4245,0
18,4245,0
20,4245,0
21,4245,0
22,4245,0
23,4245,0
25,4245,0
1,4249,0
2,4249,0
3,4249,0
4,4249,0
5,4249,0
6,4249,0
7,4249,0
8,4249,0
9,4249,0
10,4249,0
12,4249,0
13,4249,0
14,4249,0
15,4249,0
16,4249,0
17,4249,0
18,4249,0
19,4249,0
20,4249,0
25,4249,0
