nh,clust,Source_of_item
8,4049,1.74980057982641e+100
9,4049,1
9,4049,1.74980057982641e+100
9,4049,1.74980057982641e+100
9,4049,1.74980057982641e+100
10,4049,1
10,4049,1
10,4049,1.74980057982641e+100
10,4049,1.74980057982641e+100
10,4049,1.74980057982641e+100
11,4049,1
11,4049,1.74980057982641e+100
11,4049,1.74980057982641e+100
12,4049,1.74980057982641e+100
12,4049,1.74980057982641e+100
12,4049,1.74980057982641e+100
13,4049,2
13,4049,1.74980057982641e+100
13,4049,1.74980057982641e+100
14,4049,2
14,4049,1.74980057982641e+100
14,4049,1.74980057982641e+100
15,4049,2
15,4049,1
15,4049,1.74980057982641e+100
15,4049,1.74980057982641e+100
15,4049,1.74980057982641e+100
15,4049,1.74980057982641e+100
16,4049,1
16,4049,1.74980057982641e+100
16,4049,1.74980057982641e+100
17,4049,1
17,4049,1.74980057982641e+100
18,4049,1.74980057982641e+100
18,4049,1.74980057982641e+100
19,4049,1.74980057982641e+100
19,4049,1.74980057982641e+100
20,4049,2
20,4049,1.74980057982641e+100
20,4049,1.74980057982641e+100
18,4052,1
1,4055,1.74980057982641e+100
2,4055,3
2,4055,1.74980057982641e+100
3,4055,1.74980057982641e+100
4,4055,1.74980057982641e+100
5,4055,1.74980057982641e+100
8,4055,1.74980057982641e+100
9,4055,1.74980057982641e+100
10,4055,1.74980057982641e+100
11,4055,1.74980057982641e+100
11,4055,3
11,4055,3
12,4055,1.74980057982641e+100
13,4055,1.74980057982641e+100
14,4055,1.74980057982641e+100
15,4055,1.74980057982641e+100
18,4055,1.74980057982641e+100
19,4055,1.74980057982641e+100
20,4055,1.74980057982641e+100
25,4055,1.74980057982641e+100
1,4059,1.74980057982641e+100
1,4059,1.74980057982641e+100
1,4059,1.74980057982641e+100
2,4059,1
2,4059,1.74980057982641e+100
2,4059,1.74980057982641e+100
3,4059,3
3,4059,3
3,4059,1
3,4059,1.74980057982641e+100
3,4059,1.74980057982641e+100
7,4059,1
7,4059,1.74980057982641e+100
7,4059,1.74980057982641e+100
8,4059,1
8,4059,3
8,4059,1.74980057982641e+100
8,4059,1.74980057982641e+100
9,4059,1
9,4059,1
9,4059,3
9,4059,1.74980057982641e+100
9,4059,1.74980057982641e+100
9,4059,1.74980057982641e+100
9,4059,1
10,4059,1
10,4059,1.74980057982641e+100
10,4059,1.74980057982641e+100
11,4059,1
11,4059,1.74980057982641e+100
11,4059,1.74980057982641e+100
14,4059,1
14,4059,1
14,4059,1
14,4059,1.74980057982641e+100
14,4059,1.74980057982641e+100
15,4059,1
15,4059,1
15,4059,1.74980057982641e+100
15,4059,1.74980057982641e+100
16,4059,1
16,4059,1
16,4059,1.74980057982641e+100
16,4059,1.74980057982641e+100
1,4062,1.74980057982641e+100
1,4062,1.74980057982641e+100
1,4062,1.74980057982641e+100
2,4062,1
2,4062,1.74980057982641e+100
3,4062,1.74980057982641e+100
3,4062,3
6,4062,1
6,4062,3
6,4062,1.74980057982641e+100
6,4062,1.74980057982641e+100
7,4062,1.74980057982641e+100
8,4062,1
8,4062,1.74980057982641e+100
8,4062,1.74980057982641e+100
8,4062,1.74980057982641e+100
10,4062,1
10,4062,1
10,4062,1.74980057982641e+100
10,4062,1.74980057982641e+100
11,4062,3
11,4062,3
11,4062,1.74980057982641e+100
11,4062,1.74980057982641e+100
11,4062,1.74980057982641e+100
12,4062,1
12,4062,1.74980057982641e+100
12,4062,1.74980057982641e+100
14,4062,1.74980057982641e+100
15,4062,1
15,4062,1.74980057982641e+100
15,4062,1.74980057982641e+100
16,4062,1
16,4062,1
16,4062,1.74980057982641e+100
16,4062,1.74980057982641e+100
16,4062,1.74980057982641e+100
17,4062,1.74980057982641e+100
17,4062,1.74980057982641e+100
17,4062,3
19,4062,1
19,4062,1
19,4062,1.74980057982641e+100
19,4062,1.74980057982641e+100
20,4062,1.74980057982641e+100
1,4065,1.74980057982641e+100
2,4065,1.74980057982641e+100
3,4065,3
3,4065,1.74980057982641e+100
5,4065,1.74980057982641e+100
6,4065,3
6,4065,1.74980057982641e+100
7,4065,1.74980057982641e+100
8,4065,1
9,4065,1
9,4065,1.74980057982641e+100
9,4065,1.74980057982641e+100
9,4065,1.74980057982641e+100
10,4065,3
10,4065,3
10,4065,1.74980057982641e+100
10,4065,1.74980057982641e+100
10,4065,1.74980057982641e+100
10,4065,1.74980057982641e+100
11,4065,3
11,4065,3
11,4065,1
11,4065,1.74980057982641e+100
11,4065,1.74980057982641e+100
13,4065,3
13,4065,3
13,4065,1
13,4065,1.74980057982641e+100
13,4065,1.74980057982641e+100
13,4065,1.74980057982641e+100
14,4065,3
14,4065,3
14,4065,3
14,4065,1.74980057982641e+100
14,4065,1.74980057982641e+100
15,4065,1.74980057982641e+100
16,4065,3
16,4065,3
16,4065,1.74980057982641e+100
17,4065,3
17,4065,3
17,4065,1
17,4065,1.74980057982641e+100
17,4065,1.74980057982641e+100
20,4065,3
20,4065,3
20,4065,1
20,4065,1.74980057982641e+100
20,4065,1.74980057982641e+100
21,4065,1.74980057982641e+100
23,4065,3
23,4065,3
23,4065,1
23,4065,1.74980057982641e+100
1,4069,1
1,4069,1
1,4069,1.74980057982641e+100
1,4069,1.74980057982641e+100
2,4069,1
2,4069,1
2,4069,1.74980057982641e+100
2,4069,1.74980057982641e+100
3,4069,1.74980057982641e+100
4,4069,1
4,4069,1.74980057982641e+100
4,4069,1.74980057982641e+100
5,4069,1
5,4069,1.74980057982641e+100
5,4069,1.74980057982641e+100
6,4069,1
6,4069,1.74980057982641e+100
6,4069,1.74980057982641e+100
7,4069,1
7,4069,1
7,4069,1.74980057982641e+100
7,4069,1.74980057982641e+100
7,4069,1.74980057982641e+100
7,4069,3
8,4069,1
8,4069,1.74980057982641e+100
8,4069,1.74980057982641e+100
9,4069,1.74980057982641e+100
9,4069,1.74980057982641e+100
10,4069,1
10,4069,1.74980057982641e+100
10,4069,1.74980057982641e+100
11,4069,1
11,4069,1.74980057982641e+100
11,4069,1.74980057982641e+100
12,4069,1
12,4069,1.74980057982641e+100
12,4069,1.74980057982641e+100
12,4069,1.74980057982641e+100
13,4069,1
13,4069,1.74980057982641e+100
13,4069,1.74980057982641e+100
13,4069,1.74980057982641e+100
14,4069,1
14,4069,1.74980057982641e+100
14,4069,1.74980057982641e+100
14,4069,1.74980057982641e+100
15,4069,1
15,4069,1.74980057982641e+100
15,4069,1.74980057982641e+100
16,4069,1
16,4069,1
16,4069,1.74980057982641e+100
16,4069,1.74980057982641e+100
16,4069,1.74980057982641e+100
16,4069,3
16,4069,1.74980057982641e+100
16,4069,1.74980057982641e+100
17,4069,1
17,4069,1
17,4069,1.74980057982641e+100
17,4069,1.74980057982641e+100
18,4069,1
18,4069,1
18,4069,1.74980057982641e+100
18,4069,1.74980057982641e+100
18,4069,1.74980057982641e+100
1,4072,1.74980057982641e+100
2,4072,1.74980057982641e+100
3,4072,1.74980057982641e+100
4,4072,1.74980057982641e+100
4,4072,1
4,4072,1.74980057982641e+100
5,4072,1.74980057982641e+100
8,4072,1.74980057982641e+100
8,4072,1.74980057982641e+100
9,4072,1.74980057982641e+100
9,4072,3
9,4072,1
11,4072,2
11,4072,2
11,4072,2
11,4072,1.74980057982641e+100
11,4072,1.74980057982641e+100
11,4072,1
11,4072,1.74980057982641e+100
11,4072,1.74980057982641e+100
11,4072,1.74980057982641e+100
11,4072,1
11,4072,1
11,4072,1.74980057982641e+100
12,4072,2
12,4072,2
12,4072,2
12,4072,1.74980057982641e+100
12,4072,1.74980057982641e+100
12,4072,1.74980057982641e+100
15,4072,2
15,4072,2
15,4072,2
15,4072,1.74980057982641e+100
15,4072,1.74980057982641e+100
15,4072,1.74980057982641e+100
15,4072,1.74980057982641e+100
16,4072,3
16,4072,1
16,4072,1.74980057982641e+100
