nh,clust,Doing_same_work,Father_do_same_work,Work_for_whom
6,4509,1,1,9
7,4509,1,2,9
8,4509,1,2,9
9,4509,1,2,9
11,4509,1,2,9
12,4509,1,2,9
13,4509,2,2,9
16,4509,1,2,9
17,4509,1,2,9
20,4509,1,2,9
3,4512,1,1,1
5,4512,1,1,9
6,4512,1,2,1
9,4512,1,2,1
13,4512,1,1,1
18,4512,1,1,1
21,4512,1,1,1
22,4512,1,1,1
1,4515,1,1,1
2,4515,1,2,9
3,4515,1,2,9
7,4515,1,2,9
8,4515,1,2,9
9,4515,1,1,1
12,4515,1,2,8
15,4515,1,1,1
17,4515,1,1,1
5,4519,1,2,1
6,4519,1,2,1
9,4519,1,1,1
13,4519,1,1,1
15,4519,1,1,1
16,4519,1,2,1
2,4522,2,2,9
6,4522,1,2,9
7,4522,1,1,1
8,4522,2,2,10
10,4522,1,2,9
11,4522,2,2,9
16,4522,1,1,1
2,4525,1,2,9
3,4525,1,1,9
5,4525,1,2,7
6,4525,1,1,1
7,4525,1,2,9
8,4525,1,2,7
15,4525,1,2,1
16,4525,1,1,9
18,4525,2,1,9
19,4525,2,2,7
4,4529,1,2,9
5,4529,1,2,9
6,4529,1,1,1
9,4529,1,1,1
11,4529,1,1,1
15,4529,1,2,1
17,4529,1,1,9
19,4529,1,2,7
6,4532,1,2,9
3,4535,1,2,9
5,4535,1,1,9
14,4535,1,2,8
20,4535,1,2,9
5,4539,1,1,1
8,4539,1,1,1
10,4539,1,1,1
15,4539,1,2,9
18,4539,1,2,9
20,4539,1,1,1
4,4542,1,1,1
5,4542,1,1,1
6,4542,1,1,1
7,4542,1,1,8
13,4542,1,1,1
17,4542,1,1,1
18,4542,1,1,1
20,4542,1,2,9
1,4545,1,2,9
3,4549,1,2,9
11,4549,1,1,1
12,4549,1,1,1
13,4549,1,1,1
17,4549,1,2,9
7,4552,1,2,9
15,4552,1,1,9
16,4552,1,1,9
5,4555,1,2,9
6,4555,1,2,9
10,4555,1,1,7
12,4555,1,1,9
13,4555,1,2,9
17,4555,1,2,9
18,4555,1,2,9
20,4555,1,2,1
1,4559,1,2,9
6,4559,1,2,7
8,4559,1,2,9
9,4559,2,2,9
10,4559,1,2,9
12,4559,1,2,7
13,4559,1,2,7
14,4559,1,1,9
19,4559,1,1,1
1,4562,1,1,1
7,4562,1,1,1
11,4562,1,1,1
12,4562,1,2,9
13,4562,1,1,1
16,4562,1,1,1
17,4562,1,1,1
18,4562,1,1,1
2,4565,1,1,1
3,4565,1,1,1
5,4565,1,1,1
6,4565,1,1,1
9,4565,1,2,7
13,4565,1,1,1
14,4565,1,1,1
15,4565,1,1,1
20,4565,1,2,1
21,4565,1,1,1
7,4569,1,2,7
8,4569,1,2,9
10,4569,1,1,1
12,4569,1,1,1
13,4569,1,2,9
17,4569,1,1,1
2,4572,1,1,1
3,4572,2,2,9
4,4572,1,1,1
5,4572,1,1,9
6,4572,1,2,9
7,4572,1,2,9
8,4572,1,1,1
9,4572,1,1,1
10,4572,1,1,1
11,4572,1,2,1
13,4572,1,2,9
16,4572,1,2,9
20,4572,1,1,1
2,4575,1,2,9
3,4575,1,1,1
9,4575,1,2,9
12,4575,1,1,1
15,4575,1,2,9
16,4575,1,1,1
17,4575,1,2,9
18,4575,1,2,9
19,4575,1,2,9
2,4579,1,2,9
7,4579,1,2,9
8,4579,1,1,1
12,4579,1,1,9
17,4579,1,2,9
1,4582,1,1,1
3,4582,1,2,9
8,4582,1,1,1
10,4582,1,1,1
11,4585,1,2,1
15,4585,1,1,1
12,4589,1,1,1
14,4589,1,1,1
18,4589,1,1,9
19,4589,1,1,1
20,4589,1,2,9
21,4589,1,1,9
3,4592,1,1,1
5,4592,2,2,9
9,4592,1,1,1
12,4592,1,2,11
13,4592,1,2,9
16,4592,1,2,9
17,4592,1,2,9
19,4592,1,2,9
24,4592,1,2,9
1,4595,1,1,1
2,4595,1,1,1
6,4595,1,1,1
12,4595,1,1,1
14,4595,1,1,1
15,4595,1,1,1
18,4595,1,1,1
19,4595,1,1,1
20,4595,1,2,7
1,4599,1,2,9
3,4599,1,2,9
4,4599,2,2,9
9,4599,1,2,9
10,4599,2,2,9
12,4599,1,1,1
13,4599,1,1,1
14,4599,1,2,9
16,4599,1,2,9
19,4599,1,1,1
1,4602,1,2,9
2,4602,1,2,9
3,4602,1,2,9
5,4602,1,2,9
8,4602,1,1,1
11,4602,1,2,9
20,4602,1,1,1
2,4605,1,1,1
4,4605,1,2,9
9,4605,1,2,9
17,4605,1,1,1
18,4605,1,2,1
21,4605,1,1,1
23,4605,1,2,9
24,4605,1,2,1
12,4612,2,2,9
13,4612,1,2,7
16,4612,1,1,1
17,4612,1,1,1
21,4612,1,2,9
1,4615,1,1,1
2,4615,1,2,1
7,4615,1,1,9
8,4615,1,2,1
9,4615,1,1,9
10,4615,2,2,9
11,4615,1,1,9
13,4615,1,2,8
14,4615,1,1,1
15,4615,2,1,1
17,4615,1,2,9
19,4615,1,1,1
20,4615,1,2,9
21,4615,1,2,9
22,4615,1,1,1
2,4619,1,2,9
1,4622,1,2,4
3,4622,1,2,1
9,4622,1,2,9
10,4622,1,1,1
11,4622,1,1,1
13,4622,1,1,1
15,4622,1,2,9
16,4622,1,1,1
19,4622,1,1,1
1,4625,1,1,1
5,4625,1,1,1
6,4625,1,2,1
12,4625,1,2,8
14,4625,1,2,9
18,4625,1,2,1
20,4625,1,2,9
5,4629,1,1,1
7,4629,1,1,9
8,4629,1,2,7
9,4629,1,2,9
13,4629,2,2,9
15,4629,1,1,9
16,4629,1,2,9
17,4629,1,1,7
18,4629,1,1,1
19,4629,1,2,9
20,4629,1,1,1
1,4632,2,1,1
2,4632,2,2,9
6,4632,2,2,9
7,4632,1,2,9
13,4632,2,2,9
14,4632,1,2,9
15,4632,1,1,1
16,4632,2,1,1
18,4632,1,2,9
19,4632,1,2,9
20,4632,1,1,1
21,4632,1,1,1
22,4632,1,2,9
24,4632,1,1,1
3,4635,1,2,9
6,4635,1,1,1
13,4635,1,1,1
7,4639,1,2,9
10,4639,1,2,9
11,4639,1,1,1
23,4639,1,2,9
1,4642,1,1,1
4,4642,1,1,1
6,4642,1,1,1
11,4642,1,2,9
13,4642,1,2,9
20,4642,1,2,9
1,4645,1,1,1
2,4645,1,2,9
4,4645,1,1,1
7,4645,1,2,9
10,4645,1,2,8
11,4645,1,2,9
12,4645,1,2,9
13,4645,1,1,1
15,4645,1,1,1
16,4645,1,2,9
19,4645,1,1,9
20,4645,1,2,9
22,4645,1,2,7
23,4645,1,1,1
25,4645,1,2,9
6,4649,1,1,1
7,4649,1,1,1
8,4649,1,2,9
12,4649,1,1,9
15,4649,1,1,1
16,4649,1,1,1
1,4652,1,2,9
3,4652,1,2,9
6,4652,1,1,9
7,4652,1,2,9
9,4652,2,2,9
12,4652,1,2,7
20,4652,2,1,8
2,4655,1,1,1
10,4655,1,1,1
16,4655,1,2,9
20,4655,1,1,1
1,4659,1,2,1
4,4659,1,2,9
5,4659,1,1,1
6,4659,1,2,9
7,4659,1,2,1
9,4659,1,2,1
13,4659,1,2,9
2,4662,1,1,9
7,4662,1,2,9
3,4665,1,1,1
5,4665,1,2,9
13,4665,1,1,9
15,4665,1,1,9
19,4665,1,1,1
11,4669,1,1,1
3,4672,1,2,2
5,4672,1,1,9
6,4672,1,2,9
9,4672,2,2,9
16,4672,1,1,1
18,4672,1,2,9
19,4672,1,2,9
21,4672,2,2,9
9,4675,1,1,1
10,4675,1,2,1
13,4675,1,1,1
14,4675,1,1,1
15,4675,1,2,9
16,4675,1,2,9
18,4675,1,1,1
19,4675,1,2,1
4,4679,1,2,9
6,4679,1,1,1
8,4679,2,2,9
9,4679,1,2,9
22,4679,1,1,1
24,4679,1,1,1
5,4685,1,1,1
6,4685,1,1,1
14,4685,1,1,1
17,4685,1,1,1
19,4685,1,1,1
1,4689,1,1,1
3,4689,1,1,1
6,4689,1,1,1
8,4689,1,1,1
14,4689,1,2,9
15,4689,1,1,1
16,4689,1,1,1
21,4689,1,1,1
1,4692,1,2,1
5,4692,1,1,1
12,4692,1,1,1
16,4692,1,2,9
1,4695,1,1,1
3,4695,1,2,9
4,4695,1,1,9
5,4695,1,1,1
7,4695,1,1,1
8,4695,1,1,9
9,4695,1,1,9
10,4695,1,1,1
11,4695,1,1,1
12,4695,1,1,9
13,4695,1,1,1
14,4695,1,1,1
16,4695,1,1,1
18,4695,1,1,1
20,4695,1,1,1
22,4695,1,1,1
1,4699,1,1,1
3,4699,1,2,1
4,4699,1,2,9
9,4699,1,2,9
13,4699,1,1,1
14,4699,1,1,9
18,4699,1,1,1
22,4699,1,2,1
13,4702,1,1,1
14,4702,1,2,7
20,4702,1,2,1
10,4715,1,1,9
7,4719,1,2,9
3,4729,1,2,9
11,4729,1,2,8
13,4729,1,1,1
14,4729,1,2,9
16,4729,2,2,9
17,4729,1,2,9
20,4729,1,1,1
21,4729,1,2,9
13,4732,2,1,9
20,4732,1,2,9
9,4735,1,2,7
10,4735,1,1,1
16,4735,1,1,1
10,4739,1,2,1
19,4739,1,1,1
20,4739,1,1,1
5,4745,1,1,1
6,4745,1,2,1
7,4745,1,1,9
8,4745,1,2,8
10,4745,1,1,1
11,4745,1,1,1
12,4745,1,2,9
17,4745,1,2,9
20,4745,1,2,9
3,4750,1,1,1
