nh,clust,Source_of_loan
19,4489,11
21,4489,11
22,4489,11
1,4492,11
1,4492,9
1,4492,9
2,4492,9
2,4492,10
3,4492,11
4,4492,11
4,4492,9
5,4492,9
5,4492,9
5,4492,9
5,4492,9
6,4492,9
7,4492,11
8,4492,9
8,4492,9
9,4492,9
10,4492,9
10,4492,9
11,4492,10
12,4492,9
12,4492,9
13,4492,11
14,4492,9
14,4492,9
16,4492,9
16,4492,9
19,4492,1.74980057982641e+100
20,4492,1.74980057982641e+100
1,4495,10
3,4495,6
9,4495,8
12,4495,8
14,4495,12
15,4495,11
16,4495,11
17,4495,10
20,4495,8
3,4499,1
4,4499,10
4,4499,11
5,4499,1
6,4499,9
14,4499,9
14,4499,9
15,4499,1.74980057982641e+100
19,4499,9
20,4499,11
8,4502,11
12,4502,1
5,4505,11
6,4505,9
9,4505,11
12,4505,9
16,4505,11
18,4505,11
19,4505,11
20,4505,9
24,4505,11
2,4509,1
3,4509,11
4,4509,11
4,4509,11
5,4509,11
6,4509,11
6,4509,11
8,4509,1.74980057982641e+100
9,4509,11
9,4509,11
9,4509,11
9,4509,11
9,4509,11
9,4509,11
10,4509,11
10,4509,11
10,4509,11
11,4509,11
12,4509,11
12,4509,11
12,4509,11
14,4509,11
16,4509,11
17,4509,11
17,4509,11
18,4509,11
18,4509,11
19,4509,11
20,4509,1
3,4512,1.74980057982641e+100
4,4512,9
4,4512,9
6,4512,9
8,4512,11
11,4512,11
13,4512,9
15,4512,11
17,4512,8
18,4512,11
20,4512,9
21,4512,11
22,4512,11
2,4515,11
5,4515,11
15,4515,11
19,4515,11
2,4519,11
4,4519,11
5,4519,10
6,4519,9
7,4519,11
8,4519,7
10,4519,11
11,4519,9
12,4519,8
14,4519,9
15,4519,9
17,4519,9
19,4519,9
1,4522,11
1,4522,11
2,4522,11
2,4522,11
3,4522,11
4,4522,11
4,4522,11
4,4522,11
5,4522,11
6,4522,11
7,4522,1
7,4522,11
7,4522,1
9,4522,1
10,4522,11
10,4522,11
10,4522,11
11,4522,1
12,4522,11
13,4522,11
13,4522,1
13,4522,11
17,4522,11
18,4522,11
18,4522,11
18,4522,11
19,4522,12
19,4522,12
20,4522,11
2,4525,11
2,4525,9
4,4525,8
5,4525,11
6,4525,9
8,4525,10
8,4525,11
9,4525,11
10,4525,11
11,4525,11
12,4525,11
14,4525,11
16,4525,11
17,4525,10
20,4525,11
20,4525,9
1,4529,10
2,4529,9
3,4529,9
4,4529,10
7,4529,8
8,4529,10
11,4529,11
14,4529,8
14,4529,8
14,4529,8
16,4529,9
18,4529,11
15,4532,11
18,4532,8
19,4532,8
20,4532,9
2,4535,8
2,4535,8
3,4535,8
4,4535,11
5,4535,8
7,4535,8
8,4535,11
9,4535,8
10,4535,1
10,4535,8
11,4535,11
11,4535,11
12,4535,11
13,4535,8
15,4535,11
17,4535,8
18,4535,8
19,4535,11
20,4535,8
2,4539,9
3,4539,4
8,4539,11
8,4539,11
10,4539,1
10,4539,1
19,4539,1
6,4542,2
7,4542,2
9,4542,2
11,4542,11
13,4542,2
14,4542,2
18,4542,2
2,4545,3
9,4545,10
10,4545,3
12,4545,3
14,4545,3
14,4545,3
15,4545,11
16,4545,11
17,4545,3
2,4549,9
3,4549,9
9,4549,11
10,4549,1.74980057982641e+100
14,4549,9
15,4549,9
17,4549,1.74980057982641e+100
20,4549,1.74980057982641e+100
6,4552,9
6,4552,9
6,4552,11
7,4552,9
9,4552,9
12,4552,9
12,4552,9
12,4552,9
18,4552,9
1,4555,11
4,4555,11
4,4555,11
5,4555,11
5,4555,11
5,4555,11
5,4555,12
5,4555,11
6,4555,11
6,4555,11
8,4555,11
9,4555,11
11,4555,11
12,4555,11
13,4555,11
18,4555,11
20,4555,11
3,4559,11
4,4559,11
4,4559,11
5,4559,11
5,4559,11
6,4559,11
7,4559,11
8,4559,11
8,4559,11
11,4559,11
11,4559,11
12,4559,11
13,4559,11
14,4559,11
15,4559,11
19,4559,11
2,4562,11
2,4562,9
3,4562,8
3,4562,8
3,4562,11
3,4562,1
3,4562,9
5,4562,11
6,4562,9
7,4562,11
9,4562,8
9,4562,11
11,4562,12
13,4562,11
13,4562,11
14,4562,8
15,4562,11
15,4562,11
16,4562,1
16,4562,11
19,4562,9
3,4565,11
5,4565,11
5,4565,11
8,4565,11
10,4565,11
11,4565,11
12,4565,2
14,4565,11
16,4565,11
18,4565,2
20,4565,2
1,4569,11
2,4569,11
3,4569,11
5,4569,11
6,4569,11
7,4569,1.74980057982641e+100
8,4569,1.74980057982641e+100
10,4569,1.74980057982641e+100
14,4569,1.74980057982641e+100
15,4569,11
17,4569,1.74980057982641e+100
18,4569,8
19,4569,1.74980057982641e+100
20,4569,11
2,4572,9
3,4572,9
5,4572,9
9,4572,9
10,4572,9
11,4572,9
15,4572,9
18,4572,11
19,4572,11
8,4575,12
10,4575,1
1,4579,8
2,4579,9
3,4579,1.74980057982641e+100
3,4579,1.74980057982641e+100
10,4579,11
13,4579,9
21,4579,8
21,4579,8
1,4582,7
4,4582,7
6,4582,9
7,4582,11
7,4582,11
9,4582,11
