nh,clust,Honey
20,4375,0
1,4379,0
2,4379,0
3,4379,0
4,4379,0
5,4379,0
6,4379,0
7,4379,0
8,4379,0
9,4379,0
10,4379,0
11,4379,0
12,4379,0
13,4379,0
14,4379,0
15,4379,0
16,4379,0
17,4379,0
18,4379,0
19,4379,0
20,4379,0
1,4382,0
2,4382,0
3,4382,0
4,4382,0
5,4382,0
6,4382,0
7,4382,0
8,4382,0
10,4382,0
11,4382,0
12,4382,0
13,4382,0
14,4382,0
15,4382,0
16,4382,0
17,4382,0
18,4382,0
19,4382,0
20,4382,0
1,4385,0
2,4385,0
3,4385,0
4,4385,0
5,4385,0
6,4385,0
7,4385,0
8,4385,0
9,4385,0
10,4385,0
11,4385,0
12,4385,0
13,4385,0
14,4385,0
15,4385,0
16,4385,0
17,4385,0
18,4385,0
19,4385,0
20,4385,0
1,4389,0
2,4389,0
3,4389,0
4,4389,0
5,4389,0
6,4389,0
7,4389,0
8,4389,0
9,4389,0
10,4389,0
11,4389,0
12,4389,0
13,4389,0
14,4389,0
15,4389,0
16,4389,0
17,4389,0
18,4389,0
19,4389,0
20,4389,0
1,4392,0
2,4392,0
3,4392,0
4,4392,0
5,4392,14000
6,4392,0
7,4392,0
8,4392,0
9,4392,0
10,4392,0
11,4392,0
12,4392,105000
13,4392,0
14,4392,0
15,4392,0
16,4392,28000
17,4392,0
18,4392,0
19,4392,0
20,4392,0
1,4395,0
2,4395,0
3,4395,0
4,4395,0
5,4395,0
6,4395,0
7,4395,0
8,4395,0
9,4395,0
10,4395,0
11,4395,0
12,4395,0
13,4395,0
14,4395,0
15,4395,0
16,4395,0
17,4395,0
18,4395,0
19,4395,0
20,4395,0
1,4399,0
2,4399,0
3,4399,0
4,4399,0
5,4399,0
6,4399,0
7,4399,0
8,4399,0
9,4399,0
10,4399,0
11,4399,0
12,4399,12000
13,4399,28000
14,4399,0
15,4399,0
16,4399,0
17,4399,0
18,4399,0
19,4399,8000
20,4399,12000
1,4402,0
2,4402,0
3,4402,0
4,4402,0
5,4402,0
6,4402,0
7,4402,0
8,4402,0
9,4402,10000
10,4402,35000
11,4402,0
12,4402,0
13,4402,0
14,4402,0
15,4402,0
16,4402,0
17,4402,0
18,4402,0
19,4402,0
20,4402,0
1,4405,0
2,4405,0
3,4405,0
4,4405,0
5,4405,0
6,4405,0
7,4405,0
8,4405,0
9,4405,0
10,4405,0
11,4405,0
12,4405,0
13,4405,0
14,4405,0
15,4405,0
16,4405,0
17,4405,0
18,4405,0
19,4405,0
20,4405,0
1,4408,0
2,4408,0
4,4408,0
5,4408,0
6,4408,5000
7,4408,6500
8,4408,5000
9,4408,0
10,4408,0
11,4408,0
12,4408,0
13,4408,0
15,4408,0
