nh,clust,Amount_withdrawn_from_savings
20,4335,350000
1,4339,50000
7,4339,0
8,4339,0
10,4339,0
14,4339,0
17,4339,0
21,4339,0
21,4339,0
1,4342,250000
2,4342,1e+06
8,4342,0
16,4342,10000
23,4342,120000
23,4342,0
4,4345,5e+05
6,4345,70000
14,4345,0
3,4349,2e+05
9,4349,210000
13,4349,60000
13,4349,30000
14,4349,0
15,4349,0
16,4349,0
16,4349,0
4,4352,0
6,4352,4500000
7,4352,754000
10,4352,0
11,4352,0
13,4352,314000
17,4352,0
18,4352,1e+05
19,4352,20000
1,4355,0
2,4355,0
2,4355,1e+05
3,4355,5e+05
6,4355,0
8,4355,1.74980057982641e+100
15,4355,0
17,4355,0
18,4355,0
19,4355,1.74980057982641e+100
20,4355,0
4,4359,30000
7,4359,1.74980057982641e+100
9,4359,15000
15,4359,0
16,4359,1e+05
17,4359,10000
18,4359,0
20,4359,0
22,4359,0
3,4362,0
4,4362,0
6,4362,80000
9,4362,2e+05
13,4362,0
14,4362,0
16,4362,1.74980057982641e+100
17,4362,0
18,4362,0
19,4362,1.74980057982641e+100
22,4362,4e+05
1,4365,1200000
3,4365,5000
10,4365,0
11,4365,520000
14,4365,1.74980057982641e+100
3,4369,60000
5,4369,350000
6,4369,250000
6,4369,1e+05
7,4369,0
11,4369,5e+05
13,4369,2e+05
13,4369,0
14,4369,3e+05
15,4369,0
16,4369,0
17,4369,1e+05
21,4369,4e+05
22,4369,0
22,4369,150000
23,4369,150000
23,4369,0
24,4369,0
1,4372,1e+06
2,4372,5e+06
4,4372,80000
6,4372,0
10,4372,2e+05
10,4372,0
11,4372,0
17,4372,0
18,4372,1e+05
21,4372,1500000
1,4375,0
2,4375,0
2,4375,0
4,4375,0
5,4375,0
6,4375,0
11,4375,0
13,4375,620000
13,4375,2506500
16,4375,0
17,4375,1.74980057982641e+100
18,4375,0
20,4375,10000
1,4379,1.74980057982641e+100
2,4379,1.74980057982641e+100
3,4379,50000
4,4379,1950000
5,4379,1300000
6,4379,1.74980057982641e+100
7,4379,1.74980057982641e+100
8,4379,1.74980057982641e+100
9,4379,1.74980057982641e+100
12,4379,1.74980057982641e+100
15,4379,208000
17,4379,1600000
18,4379,6500000
19,4379,1e+06
19,4379,5e+05
20,4379,3e+06
20,4379,0
1,4382,0
2,4382,0
4,4382,1e+05
5,4382,14200000
5,4382,2e+05
6,4382,60000
7,4382,1.74980057982641e+100
9,4382,0
10,4382,0
11,4382,1.74980057982641e+100
13,4382,6e+05
14,4382,830000
18,4382,0
1,4385,1785000
1,4385,1550000
2,4385,0
3,4385,5e+05
5,4385,2345000
5,4385,350000
8,4385,1.74980057982641e+100
9,4385,0
10,4385,0
12,4385,80000
13,4385,2e+05
13,4385,0
14,4385,380000
17,4385,5e+06
19,4385,1500000
20,4385,350000
2,4389,3e+05
4,4389,4e+05
5,4389,2350000
7,4389,3e+06
8,4389,0
9,4389,0
11,4389,40000
14,4389,3e+05
15,4389,650000
16,4389,0
18,4389,1.74980057982641e+100
19,4389,0
19,4389,0
20,4389,150000
20,4389,0
20,4389,0
20,4389,150000
5,4392,2e+05
6,4392,0
9,4392,120000
9,4392,125000
12,4392,0
17,4392,0
18,4392,820000
1,4395,0
2,4395,0
5,4395,0
6,4395,170000
7,4395,8e+05
8,4395,1e+05
9,4395,0
10,4395,0
11,4395,70000
12,4395,0
13,4395,95000
14,4395,2e+05
15,4395,1560000
17,4395,280000
18,4395,50000
1,4399,0
2,4399,50000
6,4399,0
9,4399,0
12,4399,220000
13,4399,10000
16,4399,0
19,4399,0
20,4399,0
1,4402,2e+05
3,4402,0
6,4402,15000
8,4402,0
8,4402,0
9,4402,0
10,4402,150000
11,4402,80000
12,4402,10000
13,4402,0
14,4402,0
15,4402,172000
15,4402,70000
16,4402,0
16,4402,0
17,4402,0
20,4402,48000
20,4402,0
1,4405,50000
2,4405,0
3,4405,0
4,4405,1e+05
5,4405,0
6,4405,0
7,4405,0
8,4405,50000
9,4405,0
10,4405,2e+05
11,4405,250000
12,4405,50000
13,4405,0
17,4405,0
18,4405,0
20,4405,0
2,4408,0
6,4408,0
8,4408,9000
8,4408,10000
9,4408,0
9,4408,1656000
10,4408,0
14,4408,0
17,4408,3e+05
20,4408,0
20,4408,0
1,4412,3e+05
2,4412,0
4,4412,0
9,4412,0
11,4412,0
12,4412,0
19,4412,4e+05
1,4415,1800000
1,4415,106000
3,4415,0
3,4415,0
4,4415,1e+06
4,4415,0
5,4415,0
6,4415,0
6,4415,0
7,4415,0
7,4415,0
8,4415,0
9,4415,7e+05
11,4415,0
12,4415,0
16,4415,0
20,4415,0
6,4419,1300000
6,4419,0
21,4419,0
1,4422,0
2,4422,6e+05
4,4422,0
15,4422,0
2,4425,250000
16,4425,0
5,4429,0
6,4429,0
8,4429,60000
11,4429,80000
19,4429,3e+05
20,4429,0
20,4429,0
4,4433,0
7,4433,0
9,4433,430000
11,4433,110000
14,4433,0
16,4433,70000
16,4433,0
18,4433,2400000
18,4433,0
1,4435,0
3,4435,0
6,4435,0
6,4435,0
9,4435,130000
13,4435,1e+05
14,4435,90000
15,4435,285000
17,4435,0
18,4435,1e+05
20,4435,0
22,4435,0
2,4439,0
7,4439,0
10,4439,240000
15,4439,3e+05
1,4442,1.74980057982641e+100
1,4442,1.74980057982641e+100
1,4442,1.74980057982641e+100
1,4442,1.74980057982641e+100
1,4442,1.74980057982641e+100
1,4442,1.74980057982641e+100
2,4442,1e+05
2,4442,1.74980057982641e+100
2,4442,1.74980057982641e+100
2,4442,1.74980057982641e+100
2,4442,1.74980057982641e+100
2,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
6,4442,1.74980057982641e+100
12,4442,6e+05
13,4442,0
15,4442,250000
16,4442,25000
21,4442,0
24,4442,60000
16,4445,205000
12,4449,6e+06
5,4452,50000
16,4452,0
18,4452,0
6,4455,0
15,4455,0
19,4455,350000
12,4459,50000
15,4459,0
16,4459,3e+05
9,4462,0
10,4462,5e+05
12,4462,2e+06
13,4462,1e+06
17,4462,0
3,4465,960000
5,4465,0
6,4465,0
13,4465,3e+05
14,4465,650000
15,4465,0
17,4465,8e+05
20,4465,0
2,4469,1e+06
5,4469,480000
7,4469,1400000
9,4469,3e+06
9,4469,8e+05
10,4469,1e+05
11,4469,750000
13,4469,3500000
13,4469,4e+05
14,4469,1e+06
18,4469,6e+06
18,4469,3e+06
18,4469,6e+06
19,4469,850000
20,4469,3e+06
2,4472,2e+05
3,4472,0
6,4472,1510000
7,4472,0
9,4472,350000
17,4472,0
20,4472,20000
21,4472,60000
2,4475,0
3,4475,60000
3,4475,0
4,4475,1e+05
6,4475,90000
6,4475,1e+05
10,4475,0
16,4475,250000
18,4475,52000
19,4475,60000
3,4479,1300000
7,4479,0
8,4479,494000
8,4479,2e+06
9,4479,0
10,4479,7e+05
11,4479,3e+05
12,4479,905000
12,4479,7e+05
14,4479,35000
16,4479,1e+05
17,4479,325800
11,4482,4e+05
17,4482,0
3,4485,0
9,4485,0
11,4485,0
13,4485,0
18,4485,0
20,4485,0
2,4489,0
7,4489,290000
9,4489,350000
16,4489,4e+06
19,4489,60000
4,4492,0
5,4492,4e+05
7,4492,0
13,4492,0
16,4492,0
19,4492,1.74980057982641e+100
20,4492,590000
1,4495,350000
3,4495,1100000
4,4495,5e+05
4,4495,50000
5,4495,2e+06
5,4495,5e+05
10,4495,7e+05
10,4495,150000
10,4495,2e+05
11,4495,0
12,4495,0
13,4495,150000
14,4495,0
15,4495,70000
17,4495,4e+05
20,4495,0
5,4499,0
11,4499,0
14,4499,0
15,4499,0
16,4499,20000
19,4499,0
1,4502,0
2,4502,0
2,4502,0
5,4502,4e+05
8,4502,4e+05
8,4502,360000
12,4502,3e+05
13,4502,0
15,4502,0
15,4502,0
10,4505,0
2,4509,355000
2,4509,2e+05
4,4509,0
4,4509,1e+05
7,4509,0
10,4509,240000
12,4509,150000
20,4509,0
1,4512,0
