nh,clust,Harvest_processed_by_HH,Unit_of_measure
16,4342,0.96,5
17,4342,1.17,5
19,4342,0,0
19,4342,0.25,5
20,4342,2,5
1,4345,2.46,5
2,4345,13,8
3,4345,0.48,4
4,4345,25,8
5,4345,0.95,4
6,4345,1.98,4
7,4345,25,8
8,4345,74.25,8
9,4345,25,8
10,4345,0.9,4
11,4345,0.48,4
12,4345,5.94,5
13,4345,0.96,4
14,4345,0.95,4
15,4345,0.95,4
16,4345,7.5,4
16,4345,0,0
17,4345,2.84,5
18,4345,12.5,8
18,4345,0,0
19,4345,1.98,5
20,4345,1.97,5
3,4352,0.2,5
4,4352,3,5
4,4352,5.8,5
6,4352,1,5
7,4352,3,8
8,4352,3,5
9,4352,0.25,5
10,4352,2,5
11,4352,0.5,4
15,4352,0.33,5
19,4352,0.5,4
20,4352,0.33,4
1,4355,0,0
1,4355,0,0
2,4355,0,0
2,4355,0,0
3,4355,0,0
4,4355,0,0
5,4355,0,0
6,4355,0,0
7,4355,0,0
8,4355,0,0
8,4355,3,7
10,4355,0,0
10,4355,0,0
12,4355,0,0
12,4355,0,0
13,4355,0,0
13,4355,0,0
14,4355,0,0
15,4355,0,0
15,4355,0,0
15,4355,0,0
16,4355,0,0
16,4355,0,0
17,4355,0,0
17,4355,0,0
18,4355,0,0
18,4355,0,0
19,4355,0,0
19,4355,0,0
20,4355,0,0
20,4355,0,0
1,4359,0,0
1,4359,0,0
