nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
20,4134,1,1,2
1,4139,2,2,2
2,4139,1,2,1
3,4139,1,2,1
4,4139,1,2,2
5,4139,1,2,2
6,4139,1,2,1
7,4139,1,2,1
8,4139,1,1,2
9,4139,2,2,1
10,4139,1,1,1
11,4139,1,2,1
12,4139,2,2,1
13,4139,1,1,1
14,4139,2,2,1
15,4139,1,2,1
16,4139,1,2,1
17,4139,1,2,1
18,4139,1,2,1
19,4139,2,2,1
20,4139,1,2,1
2,4142,2,2,2
3,4142,2,2,1
5,4142,2,2,1
6,4142,2,2,1
7,4142,2,2,1
8,4142,2,2,1
9,4142,2,2,1
10,4142,1,1,2
11,4142,2,2,1
12,4142,2,2,2
13,4142,2,2,2
14,4142,2,2,2
15,4142,2,2,2
16,4142,2,1,2
17,4142,2,2,1
18,4142,1,1,1
19,4142,2,2,2
20,4142,1,2,2
21,4142,2,2,2
22,4142,2,1,1
1,4145,2,1,2
2,4145,2,2,1
3,4145,2,2,2
4,4145,2,2,1
5,4145,2,2,2
6,4145,2,2,2
7,4145,2,2,1
8,4145,2,2,1
9,4145,2,2,2
10,4145,2,2,1
11,4145,2,1,2
12,4145,2,2,2
13,4145,2,2,2
14,4145,1,2,2
15,4145,2,1,2
16,4145,2,1,2
17,4145,2,2,2
18,4145,2,2,1
19,4145,2,1,2
20,4145,2,2,2
1,4149,1,1,1
2,4149,2,1,1
3,4149,1,1,1
5,4149,1,1,2
6,4149,2,1,1
7,4149,1,1,2
8,4149,1,1,1
9,4149,1,1,2
10,4149,1,1,1
11,4149,1,1,1
12,4149,2,1,1
13,4149,1,1,1
15,4149,1,1,1
16,4149,2,1,1
17,4149,1,1,2
18,4149,1,1,2
19,4149,1,1,1
20,4149,1,1,2
23,4149,1,1,2
24,4149,1,1,2
1,4152,1,1,1
2,4152,1,1,1
3,4152,1,1,1
4,4152,2,1,2
5,4152,1,1,2
6,4152,2,1,2
7,4152,1,1,2
8,4152,1,1,1
9,4152,1,1,2
10,4152,1,1,1
11,4152,2,1,2
12,4152,1,1,1
14,4152,2,1,2
15,4152,2,1,1
17,4152,1,1,1
18,4152,2,1,2
19,4152,1,1,1
20,4152,1,1,1
21,4152,1,1,2
23,4152,1,1,1
1,4155,1,1,1
2,4155,2,2,1
3,4155,2,2,1
4,4155,1,1,2
5,4155,2,2,1
6,4155,2,2,1
7,4155,1,1,1
8,4155,2,2,1
9,4155,1,1,1
10,4155,2,2,1
11,4155,1,2,1
12,4155,1,1,1
13,4155,2,2,1
14,4155,2,2,1
15,4155,1,1,1
16,4155,1,1,2
17,4155,2,2,1
18,4155,2,2,1
19,4155,1,1,1
20,4155,1,1,2
1,4159,2,2,1
2,4159,1,1,2
3,4159,2,2,2
5,4159,2,2,1
6,4159,2,1,1
7,4159,1,1,1
8,4159,1,1,1
9,4159,1,1,1
10,4159,2,2,1
11,4159,2,2,1
12,4159,2,2,1
13,4159,1,1,1
14,4159,2,2,1
15,4159,1,1,1
16,4159,2,2,1
17,4159,1,1,1
18,4159,2,2,1
19,4159,2,2,1
20,4159,2,2,1
21,4159,2,2,2
1,4162,2,2,2
2,4162,2,2,1
3,4162,1,2,1
4,4162,1,2,1
5,4162,2,2,1
6,4162,2,2,1
7,4162,2,2,1
8,4162,2,2,1
9,4162,2,2,1
10,4162,2,2,2
11,4162,2,2,1
12,4162,1,2,1
13,4162,2,2,2
14,4162,2,2,1
15,4162,2,2,1
16,4162,2,2,1
17,4162,2,2,2
18,4162,2,2,2
19,4162,2,2,1
20,4162,2,2,1
2,4165,2,2,1
3,4165,2,2,1
4,4165,2,2,2
5,4165,2,2,2
6,4165,2,2,1
7,4165,2,2,2
8,4165,2,2,1
9,4165,2,2,1
10,4165,2,2,2
11,4165,2,2,2
12,4165,2,2,1
13,4165,2,1,2
14,4165,2,2,2
15,4165,2,2,2
16,4165,2,2,1
17,4165,1,1,1
19,4165,2,2,1
20,4165,2,2,1
21,4165,2,2,2
22,4165,2,1,2
1,4169,2,2,1
2,4169,2,1,2
3,4169,2,2,2
4,4169,2,2,1
5,4169,2,2,1
6,4169,1,1,2
7,4169,1,2,2
8,4169,2,2,1
9,4169,2,2,2
10,4169,2,2,2
11,4169,2,2,1
12,4169,2,2,2
13,4169,2,2,1
14,4169,2,2,2
15,4169,2,2,2
16,4169,2,1,2
17,4169,2,2,1
18,4169,2,2,1
19,4169,2,2,1
20,4169,2,2,1
1,4172,1,2,2
2,4172,2,2,2
3,4172,2,2,1
4,4172,2,2,1
5,4172,2,2,1
6,4172,2,2,1
7,4172,2,2,1
8,4172,2,2,1
9,4172,2,2,1
10,4172,1,1,1
11,4172,2,2,1
12,4172,2,2,2
13,4172,2,2,2
14,4172,2,2,1
15,4172,2,2,2
16,4172,2,1,2
17,4172,2,2,1
18,4172,2,2,1
19,4172,2,2,1
20,4172,2,2,1
1,4175,2,2,1
2,4175,2,1,1
3,4175,2,1,2
4,4175,2,1,1
5,4175,1,1,2
6,4175,2,1,1
7,4175,2,2,2
8,4175,2,2,2
9,4175,2,1,1
10,4175,1,1,2
11,4175,2,1,2
12,4175,2,1,1
13,4175,2,2,1
14,4175,2,1,1
15,4175,2,1,1
16,4175,1,1,1
17,4175,2,1,1
18,4175,2,1,1
19,4175,1,1,2
20,4175,2,1,1
1,4179,2,1,2
2,4179,2,1,2
3,4179,2,2,1
4,4179,2,2,1
5,4179,1,2,1
6,4179,2,2,1
7,4179,2,1,2
8,4179,2,2,1
9,4179,2,2,1
10,4179,1,1,2
11,4179,2,2,1
12,4179,1,2,1
13,4179,2,2,1
14,4179,1,2,2
15,4179,2,1,1
16,4179,1,2,1
17,4179,2,2,1
18,4179,2,2,1
19,4179,2,2,2
20,4179,2,2,1
1,4182,2,2,1
2,4182,2,2,1
3,4182,2,2,1
4,4182,2,2,1
5,4182,2,2,2
6,4182,2,2,1
7,4182,2,1,2
8,4182,2,2,1
9,4182,1,1,2
10,4182,2,1,1
11,4182,2,1,2
12,4182,2,2,2
13,4182,1,1,2
14,4182,2,2,1
15,4182,1,2,1
16,4182,2,2,1
17,4182,2,2,1
18,4182,2,2,2
20,4182,2,2,1
21,4182,2,2,1
1,4185,2,2,1
2,4185,2,2,1
3,4185,2,2,2
4,4185,1,2,2
5,4185,2,2,1
6,4185,2,2,1
7,4185,2,2,1
8,4185,2,2,1
9,4185,2,2,1
10,4185,2,1,1
11,4185,2,2,1
12,4185,2,2,2
13,4185,2,2,2
14,4185,2,2,1
15,4185,2,2,1
16,4185,1,2,1
17,4185,2,2,1
18,4185,2,2,1
19,4185,2,2,2
20,4185,2,2,1
1,4189,1,1,1
2,4189,1,2,2
3,4189,1,1,1
4,4189,1,2,1
5,4189,1,1,2
6,4189,1,2,1
7,4189,1,1,1
8,4189,2,2,1
9,4189,2,2,1
10,4189,2,2,1
11,4189,1,2,1
12,4189,1,2,2
13,4189,2,2,1
14,4189,2,2,2
15,4189,1,1,1
16,4189,2,2,1
17,4189,1,2,2
18,4189,1,1,2
19,4189,1,1,1
