nh,clust,Processed_food_code,Sell_any_processed_food
15,4129,8,2
17,4129,8,1
17,4129,8,1
1,4132,1,2
2,4132,1,2
3,4132,1,2
4,4132,1,2
4,4132,5,2
5,4132,1,1
6,4132,1,2
7,4132,1,2
8,4132,1,2
9,4132,1,2
10,4132,1,2
11,4132,1,2
12,4132,1,2
13,4132,1,1
14,4132,1,2
15,4132,1,1
16,4132,1,1
17,4132,1,2
18,4132,1,1
19,4132,1,2
20,4132,1,2
2,4134,1,2
2,4134,5,2
2,4134,6,2
3,4134,1,2
4,4134,1,2
4,4134,6,2
6,4134,1,2
6,4134,5,2
6,4134,6,2
7,4134,1,2
7,4134,5,2
7,4134,6,2
8,4134,1,2
8,4134,6,2
9,4134,1,2
9,4134,6,2
11,4134,6,2
12,4134,1,2
12,4134,6,2
13,4134,1,2
13,4134,6,2
14,4134,6,2
15,4134,1,2
15,4134,6,2
16,4134,1,1
16,4134,6,2
17,4134,6,1
18,4134,6,2
20,4134,6,2
8,4139,10,2
8,4139,10,2
10,4139,1,2
10,4139,8,2
13,4139,10,2
13,4139,10,2
10,4142,3,2
1,4145,2,1
11,4145,6,2
15,4145,2,2
16,4145,2,1
19,4145,1,2
19,4145,2,1
19,4145,7,1
1,4149,1,2
2,4149,1,2
3,4149,1,2
5,4149,1,2
6,4149,1,2
7,4149,1,2
8,4149,1,2
9,4149,1,2
10,4149,1,2
11,4149,1,2
11,4149,5,2
12,4149,1,2
13,4149,1,2
15,4149,1,2
16,4149,1,2
17,4149,1,2
18,4149,1,2
19,4149,1,2
20,4149,1,2
23,4149,1,2
24,4149,1,2
1,4152,1,2
2,4152,1,2
3,4152,1,2
4,4152,1,2
5,4152,1,2
5,4152,10,2
6,4152,1,2
7,4152,1,2
8,4152,1,1
8,4152,1,2
9,4152,1,2
9,4152,8,2
10,4152,1,2
10,4152,10,2
11,4152,1,2
12,4152,1,2
14,4152,1,2
15,4152,1,2
17,4152,1,2
18,4152,1,2
19,4152,1,2
20,4152,1,2
21,4152,1,2
23,4152,1,2
1,4155,11,2
4,4155,11,2
7,4155,11,2
9,4155,1,2
12,4155,1,2
15,4155,1,2
15,4155,11,2
16,4155,1,2
19,4155,11,2
20,4155,11,2
2,4159,1,2
2,4159,5,2
2,4159,11,1
2,4159,11,2
6,4159,11,1
7,4159,5,2
7,4159,5,2
8,4159,1,2
8,4159,5,2
8,4159,11,2
9,4159,1,2
9,4159,5,2
13,4159,1,2
13,4159,5,2
15,4159,1,2
15,4159,5,2
17,4159,1,2
17,4159,5,2
13,4165,1,1
13,4165,7,2
17,4165,11,1
22,4165,1,1
2,4169,1,1
6,4169,1,2
6,4169,5,2
16,4169,1,1
16,4169,7,2
16,4172,1,2
2,4175,1,2
3,4175,1,2
4,4175,1,2
5,4175,1,2
9,4175,1,2
10,4175,1,2
14,4175,1,2
15,4175,1,2
16,4175,1,2
16,4175,5,2
16,4175,10,2
17,4175,1,2
17,4175,10,2
18,4175,1,2
19,4175,1,2
20,4175,1,2
7,4179,7,2
10,4179,7,1
15,4179,7,1
7,4182,1,1
7,4182,7,1
9,4182,7,2
10,4182,11,2
11,4182,7,2
13,4182,7,2
1,4189,7,2
3,4189,7,2
5,4189,7,1
7,4189,7,2
15,4189,7,2
15,4189,10,2
18,4189,7,2
19,4189,7,2
11,4192,10,2
13,4192,8,2
13,4192,10,1
17,4192,8,2
18,4192,10,2
3,4195,1,2
3,4195,7,1
4,4195,7,1
5,4195,7,1
6,4195,7,2
6,4195,7,1
7,4195,7,1
11,4195,1,1
11,4195,7,2
12,4195,7,2
13,4195,6,1
14,4195,7,2
17,4195,7,2
18,4195,7,1
19,4195,7,2
19,4195,7,1
19,4195,7,1
2,4199,8,2
2,4199,10,2
5,4199,10,2
7,4199,10,2
7,4199,10,2
8,4199,8,2
9,4199,10,1
10,4199,10,2
11,4199,10,2
12,4199,10,2
18,4199,10,1
7,4205,10,2
11,4205,10,2
12,4205,10,2
2,4209,3,1
10,4209,1,1
10,4209,5,1
10,4209,10,1
15,4209,7,1
16,4209,7,2
18,4209,11,2
2,4212,1,2
4,4212,1,2
9,4212,1,2
11,4212,7,1
17,4212,7,2
19,4212,7,1
19,4212,7,1
14,4215,1,1
8,4222,3,1
8,4222,11,1
11,4222,1,2
14,4229,1,1
3,4232,1,1
9,4232,1,2
14,4232,1,1
3,4235,11,1
16,4235,11,1
10,4239,1,2
3,4242,1,2
3,4242,1,2
8,4242,1,2
18,4242,1,2
19,4242,1,2
2,4245,1,2
21,4245,1,2
1,4249,7,1
6,4249,7,1
8,4249,7,1
1,4252,1,2
2,4252,1,2
3,4252,1,2
4,4252,1,2
7,4252,3,1
13,4252,1,2
16,4252,7,1
19,4252,1,2
20,4252,1,2
16,4259,11,1
17,4262,11,1
22,4262,3,1
7,4265,11,1
9,4265,1,1
18,4265,11,1
19,4265,2,1
8,4269,11,1
16,4269,1,2
17,4269,11,1
18,4269,1,1
21,4269,1,1
2,4272,7,1
4,4272,3,1
6,4272,7,2
14,4272,7,1
18,4272,3,1
19,4272,7,1
3,4275,1,1
18,4275,2,1
12,4279,1,1
15,4279,6,1
11,4282,7,1
14,4282,3,1
16,4282,1,1
1,4285,3,1
2,4292,11,1
14,4292,11,1
14,4292,11,1
17,4292,1,1
10,4299,11,1
3,4305,1,1
8,4305,1,1
11,4309,2,1
24,4309,1,1
7,4319,1,1
8,4319,1,2
18,4319,11,1
20,4319,2,2
9,4322,1,2
14,4322,3,1
17,4322,7,1
18,4322,1,1
19,4322,1,2
12,4325,7,1
3,4329,3,1
8,4329,11,2
9,4329,1,2
9,4329,5,2
16,4329,7,2
17,4329,11,1
18,4329,7,1
25,4329,7,2
1,4335,1,2
2,4335,1,2
3,4335,1,2
4,4335,1,2
5,4335,1,1
6,4335,1,2
7,4335,1,2
8,4335,1,2
9,4335,1,2
10,4335,1,2
11,4335,1,2
12,4335,1,2
14,4335,1,2
15,4335,1,2
17,4335,1,2
18,4335,1,2
19,4335,1,2
20,4335,1,2
20,4335,5,2
1,4339,1,2
2,4339,1,2
3,4339,1,2
4,4339,1,2
4,4339,1,1
5,4339,1,2
6,4339,1,2
7,4339,1,2
8,4339,1,2
9,4339,1,2
10,4339,1,2
11,4339,1,2
12,4339,1,2
13,4339,1,2
14,4339,1,2
15,4339,1,2
16,4339,1,2
17,4339,1,2
18,4339,1,2
19,4339,1,2
21,4339,1,2
1,4342,1,2
3,4342,1,2
4,4342,1,2
5,4342,1,2
8,4342,1,2
10,4342,1,2
11,4342,1,2
12,4342,1,2
14,4342,1,2
16,4342,1,1
17,4342,2,2
18,4342,1,2
19,4342,2,2
20,4342,1,2
24,4342,1,2
1,4345,1,2
1,4345,5,2
2,4345,1,2
2,4345,5,2
3,4345,1,2
3,4345,5,2
4,4345,1,2
4,4345,5,2
5,4345,1,2
5,4345,5,2
6,4345,1,2
6,4345,5,2
7,4345,1,2
7,4345,5,2
8,4345,1,2
8,4345,5,2
9,4345,1,2
9,4345,5,2
10,4345,1,2
10,4345,1,2
10,4345,5,2
11,4345,1,2
11,4345,5,2
12,4345,1,2
12,4345,5,2
13,4345,1,2
13,4345,5,2
13,4345,7,1
14,4345,1,2
14,4345,5,2
14,4345,7,2
15,4345,1,2
15,4345,5,2
16,4345,1,2
16,4345,5,2
17,4345,1,2
17,4345,5,2
18,4345,1,2
18,4345,5,2
19,4345,1,2
19,4345,5,2
20,4345,1,2
20,4345,5,2
1,4349,1,2
1,4349,11,2
2,4349,1,2
3,4349,1,2
4,4349,1,2
5,4349,1,2
6,4349,1,2
7,4349,1,2
8,4349,1,2
9,4349,1,2
10,4349,1,2
11,4349,1,2
13,4349,1,2
14,4349,1,2
15,4349,1,2
16,4349,1,2
17,4349,1,2
18,4349,1,2
19,4349,1,2
20,4349,1,2
2,4352,1,2
3,4352,1,2
4,4352,1,2
4,4352,11,2
5,4352,1,2
5,4352,6,2
6,4352,1,2
6,4352,11,2
7,4352,1,2
7,4352,11,2
8,4352,1,2
8,4352,6,2
8,4352,11,2
9,4352,1,2
9,4352,11,2
10,4352,1,2
10,4352,11,2
11,4352,1,2
11,4352,11,2
12,4352,1,2
12,4352,11,2
13,4352,1,2
13,4352,8,2
13,4352,11,2
14,4352,1,2
15,4352,1,2
15,4352,11,2
16,4352,1,2
16,4352,11,2
17,4352,1,2
17,4352,1,2
18,4352,1,2
19,4352,1,2
19,4352,11,2
20,4352,1,2
5,4355,1,1
