eanum,s1q4_1,s1q4_2,s1q4_3,s2q10_1,s2q14_1,s2q15_1,s2q17_1,s2q19_1,s2q20_1,s2q23_1,s2q27_1,s2q28_1,s2q28_2,s2q29_1,s2q29_2,s2q29_3,s2q29_4,s2q32_1,s2q33_1,s2q33_2,s2q33_3,s2q34a_1,s2q34a_2,s2q34a_3,s2q34a_4,s2q34a_6,s2q34a_7,s2q34b_1,s2q34b_2,s2q34b_3,s2q34b_4,s2q34b_5,s2q34b_6,s2q34b_7,s2q34b_8,s2q37_1,s2q37_2,s2q6_1,s2q8_1,s3q1_1,s3q11_1,s3q14_1,s3q15_1,s3q15_2,s3q16_1,s3q16_2,s3q16_3,s3q20_1,s3q23_1,s3q24_1,s3q24_2,s3q25_1,s3q25_2,s3q25_3,s3q29_1,s3q8_1,s3q8_2,s3q8_3,s3q8_4,s3q9_1,s3q9_2,s3q9_3,s3q9_4,s3q9_5,s5bq10_1,s5bq12_1,s5bq14_1,s5bq15_1,s5bq16_1,s5bq17_1,s5bq18_1,s5bq18_2,s5bq19_1,s5bq20_1,s5bq21_1,s5bq21_2,s5bq21_3,s5bq23_1,s5bq5_1,s5bq7_1,s1q1,s2q5,s2q16,s2q18,s2q22,s2q25,s3q2,s3q12,s3q21,s3q31a,s3q31b,s3q31c,s5bq6,s5bq13,clust,mean_profit_per_acre
149,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,5061,0,0,5,3,0,0,0,0,0,0,0,0,1,4149,1080913.8846433847
152,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,5699,0,0,0,0,0,0,0,12,12,8,20,0,12,4152,75597245.3060623
155,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,2186,0,2,2,2,0,0,0,2,2,33,35,5,0,4155,-160017.59823320707
159,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,220,0,0,0,0,0,0,0,0,10,30,40,0,18,4159,17193.571428571442
355,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,788,0,5,5,5,0,0,0,10,0,0,0,15,0,4355,29611900.78942429
359,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,757.5,0,15.5,15.5,6.5,0,0,2,15.5,0,0,0,49,0,4359,18999140.088252373
365,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,274,0,29.5,29.5,29.5,0,0,8,23,2.5,12.5,15,41.5,0,4365,35064326.19829371
369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,104,6,22,22,22,6,6,6,22,15,12,28,22,0,4369,14926132.18411766
372,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,829,0,608,608,52,0,0,0,52,0,0,0,52,0,4372,192255.53873383327
375,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,599,0,42,48,0,0,0,0,42,0,0,0,42,0,4375,4798089.835690376
379,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,229,8,27,20,18,5,0,4,0,0,0,0,8,0,4379,2903110.478949318
382,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,544,8,21,21,8,8,8,8,23,0,0,0,8,0,4382,562821.900444565
385,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,940,1,5,5,5,0,0,0,5,5,14,19,5,0,4385,657296.046673955
389,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,386,3,9.5,19,11,0,0,1,20.5,4.5,7.5,12,6.5,0,4389,249076452.13796896
392,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,51,15,17,25,15,15,15,15,16,0,0,0,47,0,4392,45007885.381144434
395,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,255,0,30,30,6,6,0,2,30,10,15,25,30,0,4395,48979.037830687834
399,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,139,7,15,15,15,15,0,15,15,0,0,0,0,0,4399,66930826.656320274
405,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,239.5,0,228,228,228,0,0,12,148,0,0,0,92,0,4405,14741190.221798139
408,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,25,4,0,0,0,4,23,12,35,4,0,4408,45851636.22448541
412,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,237.5,0,6.5,10,4,3,2.5,2.5,9,0,0,0,18,0,4412,412328.8830030115
415,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,330,0,8,8,2,0,5,5,8,0,0,0,8,0,4415,27662232.476055734
419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,77.33333333333333,0,7,7,7,2.3333333333333335,2.3333333333333335,4.666666666666667,7,0,0,0,7,0.3333333333333333,4419,5564516.570107788
422,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,318,3,7,7,0,3,0,3,7,0,0,0,3,0,4422,364052.6350249763
